dadA	lrp	kbl	tdh	lysU	sdaA	livG	livK	livH	livF	livM	yojI	livJ	rrfA	ileT	dadX	ilvI	rrlE	aroA	ilvH	gltV	rrsA	rrlA	aidB	rrsE	alaT	rrfE	fis	rrlG	alaV	gltT	alaU	thrV	rrfF	gltW	rrsD	hns	rrlC	rrlD	rrfC	rrlB	rrsH	rrsC	rrfD	gltU	rrsB	rrlH	ileU	rrfG	rrsG
0.8535085591626762	0.0	0.0	0.596462518641841	0.0	-0.26712684403173625	-0.6676525515504181	0.0	0.0	0.0	-0.17697489447891712	0.18584011295379443	0.0	0.0	0.0	0.0	-0.09008845520431885	0.0	0.0	-0.6847068739589304	0.0	0.0	-0.28128039058480814	0.0	0.0	0.0	0.8917066692052927	0.0	0.0	-0.06841484233964745	-0.4013755910564214	0.0	-0.5750389529857785	-0.7966122147627175	0.03759689086066875	0.0	0.0	0.0	0.0	0.0	0.0	0.10548777333710668	0.0	0.0	0.0	0.0	0.0	0.0	0.05944134760743092	-0.1280384650453925
0.0	-0.5156338252127171	0.02482612613478876	0.0	0.0	0.0	0.0	0.0	-0.04676631698384881	0.0	0.0	0.0	-0.0902531931642443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17475383246883824	0.0	0.0	0.0	0.0	0.0	0.0	-0.653649638639763	0.0	0.0	0.0	-0.5883284648880363	0.0	-0.4399686958640814	0.0	0.0	0.4549447674582813	0.0	-0.5815546121960129	0.0	0.0	-0.3893084326733989	0.0	0.0	-0.8889585346914828	0.0	-0.372955046270828	0.0	0.0	-0.4906555372290313
0.0	0.0	0.6692984890740571	0.0	-0.9619810471776873	0.0	-0.4954505793284625	0.0	0.0	0.0	-0.6095402352511883	0.15093119149596734	0.0	0.0	0.0	0.4575825128174397	0.0	0.0	0.4999103988137494	0.0	0.0	0.0	-0.008896113971215036	0.0	-0.37736924597993493	0.0	0.0	-0.00975299789570272	-0.8301972912158817	-0.26865012091812257	0.0	0.0	-0.0183565691113472	0.0	0.0	0.0	0.0	-0.05300209322012961	0.0	0.0	0.14466858670781613	0.0	0.0	0.0	-0.711823518620804	-0.31242293573575664	0.0	-0.7288379254750907	0.0	-0.09713170258328319
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3665819738525897	-0.8089143927209079	0.0	0.0	-0.43585822777822614	0.4194903861668281	0.2514239635254267	0.0	-0.02548833539028028	0.5986154670443784	0.0	0.0	0.0	-0.42135185971107736	0.0	0.0	0.0	0.0	-0.8206152082420886	-0.8697788338176906	0.0	-0.02011989150196314	0.0	0.0	0.0	0.0	0.34283652231786255	0.23469243238671755	-0.12684815470129251	-0.4540501558733727	-0.4119558711577408	0.0	-0.28267488148744824	0.0	0.0	-0.6752683091908693	0.0	0.0	-0.8874237218406051	0.0	0.0
0.0	0.0	0.5419508639805225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27685431724049225	0.0	0.0	-0.3851954855490476	-0.30092233954928815	0.2810992926566108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.03732006981087532	0.0	0.0	0.0	0.37864741538189395	0.0	0.0	0.0	0.0	0.042455894139718564	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.2622555363923311	0.3272115548223463	0.0	0.0	0.0	0.0	0.0	0.0	-0.6428094217553735	-0.9984995408449322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24866679862506613	-0.3926365580409765	0.0	0.0	0.0	0.0	0.053543680548160985	0.0	0.0	0.0	0.0	-0.8867011344991624	0.0	0.0	0.0	-0.44353538420293626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3085146165426418	0.0	0.0	-0.5605044653639197
0.0	0.0	-0.017359368541443577	0.6461473521442379	0.0	-0.4828904445748776	-0.9310045118909329	-0.5131101466249675	-0.552089637843892	0.0	0.0	0.0	-0.845919047947973	0.0	0.0	0.0	0.409402284806196	0.0	0.0	0.0	0.0	0.0	-0.11950409309190169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.39273974718526006	0.0	0.07815099313805196	-0.49122567306514975	0.0	0.0	0.0	0.2656674890272118	-0.3450723624162817	-0.5807852066097003	0.0	0.47246866087720946	0.0	0.0	-0.17680115220401738	0.0	0.0	0.0
0.0	0.0	0.0	0.34351424497005006	0.0	-0.589145514415577	-0.47606120235286653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4765159626428358	0.0	0.0	0.5337349535127326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23701153995675883	0.7056542373871949	0.0	-0.6018071214202791	0.0	0.0	0.0	0.0	-0.6546431619208306	0.17013032494062874	0.0	0.0	0.0	0.0	0.0	0.0	-0.23021504478279176	0.0	0.5919888827140745	0.0	-0.15682525409045267	0.0	-0.6435987807344645	0.0	0.0
0.0	-0.2734613448847085	0.2945207813371179	0.0	0.0	0.0	0.0	0.0	0.0	-0.016460663406178355	0.0	0.0	0.0	0.0	0.09295869911390764	0.7391275967872712	0.47363551430178097	0.0	-0.009304655288492593	-0.984585247701034	0.286237643869669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12659627757966518	0.17418002141411837	-0.45558404573239386	-0.28596919891424477	0.0	0.0	0.17865404362740311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05282486885494336	-0.06458052573725581	0.15425036370163214	0.0	0.0	0.20892407419255088	-0.7908206917345524
0.0	0.0	0.0	0.0	-0.5776584835257381	0.0	0.0	-0.23564071487635374	0.0	0.0	0.0	0.763074788828728	0.0	0.0	0.0	0.0	0.0	0.42660234567459365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3703441724325118	0.0	-0.1712460715789348	0.0	-0.37215379625558853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2617463968274738	0.11562818334957436	0.16108226186330676	-0.5715730070111495	0.0	0.0	0.0	0.0	0.14332687374870923	-0.8200993896462023	0.0	-0.40248720184899867
