torD	torR	torC	tnaA	torA	narL	tnaB	hybB	hybG	ogt	hybD	hybE	ynfG	hybC	hybA	dmsD	ynfH	hybF	arcA	hybO	cydC	moeA	moeB	cydD	ubiC	ubiA	nuoB	hyaB	nuoJ	nuoF	hyaD	nuoN	hyaF	appY	hyaC	hyaA	iscR	hyaE	narP	napF	napG	napC	napB	napA	napD	modE	napH	ccmE	ccmA	ccmD
0.0	-0.4915212916675955	0.0	0.1923501616287937	0.0	0.6824889930332795	0.0	0.0	0.0	0.5292495579610643	0.0	-0.9726063932757825	0.0	0.0	-0.8775368805509061	-0.3501925435848534	0.0	-0.4925261321477592	0.0	-0.5587430787272751	0.0	0.0	0.0	0.15579146612917497	0.0	-0.21770169283263385	0.0	0.0	0.9200219797763352	-0.016968504060059786	-0.19428563752088157	0.0	0.0	0.0	0.0	0.0	-0.7941846777684987	0.0	0.0	0.0	0.0	0.5107137974656479	0.0	0.0	0.0	0.0	0.0	0.0	-0.23061349046521085	0.0
0.0	-0.68041519401595	0.0	0.0	0.0	0.7208569152182683	0.0	0.0	-0.03923705802299082	0.0	0.0	-0.8190676809754223	-0.9850537292659283	-0.5323341393377632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3411503941446586	0.0	-0.8455766132101417	0.0	-0.19276612902155177	0.0	0.2682268649201219	0.0	0.4132946659264395	0.0	0.0	0.0	-0.24845554889179766	-0.8329376089386642	0.0	0.08061519392504624	0.0	-0.1275192805571569	0.0	0.11922820627943748	-0.24961393722333014	-0.9594640613067895	-0.3585008322657689	0.0	0.0	0.0	0.0	0.0
-0.06648433115333319	0.0	0.0	0.0	0.0	0.0	0.0	-0.24560050014406443	-0.1927650619763881	0.0	0.0	0.0	-0.4843222771305591	0.0	0.0	-0.40762951178476214	-0.1317343965638429	-0.7309179364237934	0.0	0.0	0.0	0.0	0.0	0.871301871030754	0.0	-0.49190889252349734	0.0	0.0	0.0	-0.12247191951610148	0.09103949176271053	-0.9129714376758784	0.26600134915459395	-0.42078386060893536	0.0	0.0	0.0	0.0	-0.6144731228705496	0.0	-0.23725215144461337	0.0	0.0	-0.7147550771478564	0.0	-0.02941602421924472	0.0	0.0	0.0	-0.16985250637990768
0.0	-0.669483887962997	0.0	0.5278440575525125	-0.3247791773173958	0.9491165571282402	0.0	0.0	0.0	0.0	-0.2134684082120657	-0.8613214197102934	0.0	0.0	0.0	0.0	0.0	-0.7423403663560748	-0.29136245348490775	-0.18561417749151587	0.0	0.0	0.0	0.8310379914521934	0.0	-0.8590047273319215	0.0	0.0	0.5948397141742829	0.0	0.0	0.0	0.0	0.0	-0.5158282637130469	-0.24533444503322244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8701087792869657	0.0	0.0	0.0	0.0	-0.49788965111702876	0.0
0.0	-0.9103302520234138	0.0	0.0	0.0	0.0	0.07127620499968479	-0.6177112383302301	-0.9010131319519132	0.0	-0.21893939352594316	0.0	0.0	0.0	-0.12605200661346316	-0.8584643630310893	0.0	-0.017037910176441073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8473644366022199	-0.2787402223329991	-0.26090060523711145	0.0	0.0	-0.653520671185106	0.0	0.0	0.0	-0.7417681883089244	-0.7646005814895034	0.0	0.0	0.0	0.0	0.0	0.0
-0.5584022018592805	-0.8867954858578742	-0.26739938380980766	0.027877001225944387	0.0	0.17105564613777843	0.0	0.0	0.0	0.5350955105072883	0.0	-0.342420797329396	-0.5153876701369882	0.0	0.0	0.0	0.0	-0.895767446840182	-0.7075796579010785	-0.4460493379738182	0.0	0.03290226090021171	0.0	0.0	0.0	0.0	0.5067719179382358	0.0	0.0	-0.7291246342938393	0.0	0.0	0.0	-0.15526458411477506	-0.5102834696881473	-0.15945786982774734	-0.9167056360747665	0.0	-0.3048082641325891	0.0	0.0	0.0	-0.9580927453935146	0.0	0.0	0.0	0.0	0.0	0.0	0.3384328235300875
-0.17772534140385687	-0.18248854880221188	0.0	0.0	0.0	0.0	0.0	-0.08216534950770438	0.0	-0.02665204162122034	-0.8016115776263177	0.0	0.0	0.0	-0.5823613333050162	0.0	-0.8977316569071263	0.0	-0.7642725522164255	0.0	0.0	0.0	0.0	0.43555659684834497	-0.644601771607995	0.0	-0.41734912221415	-0.23952759779058397	0.7098219538434718	0.0	0.0	0.0	0.3546603702266836	0.0	0.0	0.0	0.0	-0.2087798208303816	-0.225938223535195	0.0	0.0	0.0	0.0	-0.39394427463412285	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.4763072808175131	0.3695208922626073	0.0	0.0	0.0	0.0	0.0	-0.29424360883422196	0.0	-0.40832328307442367	0.0	0.0	0.0	-0.8529430357739329	-0.4757114485837519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12857875199180635	0.0	0.0	0.0	0.0	0.0	0.0	0.3051064213432305	-0.19230454717762768	0.0	0.4378332087396985	0.38878811540336483	0.0	0.0	0.27697594087332045	-0.029814274050295353	0.0	-0.9877254301682115	0.43913938464492364	0.0
-0.44819527375511825	-0.7253158211242408	0.0	0.5177527760565241	0.0	0.0	0.0	-0.022124968701973557	0.0	0.0	-0.9648781444411725	0.0	-0.08226158423349261	-0.015751439845189452	0.0	0.0	0.0	-0.03708736319094896	-0.7804269026964903	-0.3586019892245531	0.0	0.0	0.0	0.0509645491886647	-0.24341017636470497	-0.4610994253307581	0.0	0.0	0.0	0.0	0.0	0.0	0.43959963328923524	-0.796803034376353	-0.06561380694620311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.18386324285529554	0.0	0.0	0.0	0.0	0.0	-0.4466584562429541
0.0	0.0	0.0	0.0	-0.7162090826313943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4174137630034238	0.0	-0.49581946851685643	0.0	0.0	-0.7300166455097497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8977900012396276	0.7388149138401572	0.0	-0.5380181621840915	0.0	0.0	0.0	0.0	-0.6082272827625275	0.0	0.08546392001881531	0.0	0.0	0.0	0.3275309893607455	0.0	0.0	0.44365577419049596	0.0	-0.24156141345844073	0.0	0.0	0.0
