paaI	paaX	paaG	paaC	paaK	paaD	paaB	ihfB	paaH	paaA
0.0	0.0	-0.1479974223766476	0.3761764735416556	0.0810905687103178	0.0	0.4755115672878968	-0.6443885441403836	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.489649654366076	0.0	0.0
0.7615951796458833	0.0	0.0	0.0	0.44013603558411263	-0.21505147451534867	0.8313861194465356	0.0	0.0	0.1285584335878499
0.0	-0.18981403182260692	0.0	-0.4627555472808843	0.0758437704352792	0.0	0.0	0.0	-0.2078497570675769	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.05486768437549472	-0.7343157278373837	0.0	-0.05010094385946731	-0.08914216351695359	0.0	0.0	-0.47535812880070594	-0.19721282299496157
0.0	-0.5783670486416668	0.0	-0.5772617332669859	0.10203582901155014	0.0	0.0	-0.6607074653729796	0.0	0.0
0.0	-0.6919582516420633	0.0	0.0	0.0	0.0	-0.006861925504351926	-0.7748736056964844	0.0	0.0
0.0	0.0	0.0	-0.5190220413762098	0.6740514874981847	0.0	0.0	0.0	0.0	0.0
0.5400425929972701	0.0	-0.3917265001218766	0.0	0.0	-0.9843565181363374	0.5917166623685556	0.0	0.0	0.0
