uidC	uidR	uidB	uxuR	uidA	gntP	uxuA	exuR	uxuB	uxaB	exuT	uxaA	uxaC	crp	glpG	ilvB	xseA	ubiG	hofM	glgC	yeiA	ychH	cpdB	agp	ivbL	sohB	azuC	yhfA	hofP	glgP	glpE	cyaA	grpE	spf	ompA	hofB	hofC	speC	cstA	glgA	ilvN	ykgR	hofN	cyaR	yeiT	trxA	ppdD	mpl	glgS	sfsA
0.0	0.0	-0.2174236096907407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3496333615701725E-4	-0.3114183901669394	0.0	0.0	0.5609802544624527	-0.4483129782602191	0.0	0.8544578374039015	0.0	0.31203057269847373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8699302782770246	0.0	0.0	0.0	0.0	0.7184799067122055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.46649335650727153	0.6529817521923899	0.17610394066466092	0.0737487976516157	0.0
0.009986320332108889	0.0	0.0	0.0	-0.9354012219700962	0.0	-0.2894308485556394	0.0	-0.06715850345790386	0.0	0.0770900070961476	0.0	0.0	0.0	0.0	0.3352617303882708	0.0	0.0	0.4035710728402813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08135147244379497	0.6978438802900581	0.2775920607186506	0.0	0.0	0.0	-0.8654477761592716	0.0	0.0	0.0	-0.4666114489082247	-0.054934228032058885	0.8467152503878149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.06627273717108473	-0.7067957483232021	0.0	0.0	0.0	0.0	0.0	-0.4561132430098951	0.0	0.0	0.0	0.0	0.0	0.7244563751462151	0.0	0.0	0.0	0.0	0.009621791648828003	0.0	0.33115168942420165	0.0	0.0	0.8083649339238209	0.5303767969500992	-0.26942217256873846	0.0	0.0	0.0	0.0	0.3283258603995715	0.0	0.0	0.0	0.0	0.0	0.12941603133502733	-0.2977803989779204	0.0	0.23957893518733706	0.0	0.0	0.0	0.0	0.20269065107570675	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9632038986310363	0.0	0.0	0.0	-0.024038274572224516	0.0	0.28332627296316504	0.0	0.0	0.34007262163856805	0.0	0.0	0.9422871789643763	-0.005968523394731954	0.0	0.0	0.3494965078909668	0.0	-0.40733868116512895	0.0	0.0	0.0	0.0	-0.86770164873451	0.7841562875034922	-0.9922225777991116	0.0	0.0	0.05480158332783114	-0.028610714012756944	0.0	0.0	0.8381825141987143	0.0	0.0	0.2943778637245602	0.0	0.0	0.0	0.8893092346497447	0.3810106962996095	0.0
-0.6573571024383913	0.0	0.0	0.0	0.0	0.46482603196308914	0.0	-0.720415381481871	-0.6109095579013228	0.13268083522939	0.0	0.0	0.0	0.888610139170592	0.0	0.0	0.0	0.18510413593673883	0.7485379067856451	0.4305643020071651	0.0	0.0	-5.147081862961825E-4	0.0	0.0	0.0	0.0	0.049233308673730256	0.0	0.0	0.0	-0.15434653544798493	0.0	0.0	0.0	0.0	0.3898650631685866	0.0	0.0	0.00917344387623395	0.0	0.6474964981815803	0.0	0.2664643671278215	0.0	0.0	0.1898278236740945	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.1736294384139866	0.0	0.0	0.0	0.0	0.0	0.8985622329369761	-0.42478724944870283	0.0	0.0	0.4367817050353606	0.0	0.18135711276033697	0.0	0.6965617360421087	0.0	0.0	0.6040514016460801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2995832299347967	0.3179466123181099	-0.712761179311201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05492466021406714	0.0	0.0	0.7099001243596642	0.0	0.08043213538662787	0.7403822367889389
0.0	-0.7805475266650319	-0.6815959340892732	-0.0015798499327436821	0.0	0.7207339968557746	0.0	-0.002545138355344534	-0.44122534594498575	0.0	-0.2396563626065939	0.0	0.23580822508317123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23241682096666078	0.0	0.0	0.5539037211416317	0.0	-0.3430997421965003	-0.15912131150253117	0.0	0.0	0.0	0.0	0.0	0.0	-0.7506569013930857	0.0	0.24491835179276022	0.007078520060063709	-0.42095620976760983	0.0	0.0	0.0	0.0	0.5763331332199599	0.0	0.0	-0.06711809639818966	0.0	0.0	0.0	0.36228255893751526
0.0	-0.7528440784662962	0.0	0.0	-0.3567616203799844	0.0	0.0	0.0	0.0	0.18047815144904766	0.36890777929834134	0.0	0.16543036486488472	0.6831090444772739	0.0	0.4661376764108409	-0.19663165835663676	0.0	0.007086162795462224	0.7931051002689268	0.6530300923837571	0.0	0.0	-0.03165706772450082	0.8884023000621024	-0.16939899208955467	-0.14835659670643508	0.014190251852279668	0.0	0.26990999151390294	0.0	-0.4233711815904826	0.32606088993611576	0.0	0.7914965243042887	0.560514740445681	0.0	0.0	0.2607970179923113	0.0	0.8005846353626189	0.0	0.20485078235644355	0.47533425324674017	0.0	-0.8499248793814331	0.0	0.794572584994939	0.0	0.0
0.0	0.0	0.0	0.0	-0.24298680806532502	0.0	0.0	0.0	0.0	0.0	0.27390546196288473	0.0	0.0	0.8634621553662468	0.0	0.1741455869325419	0.0	0.0	0.4791428398947795	0.0	0.8744462325917779	0.16297245007339292	0.0	0.0	8.189108823212776E-4	0.0	0.0	0.0	0.0	0.0	0.2452262695523028	-0.772742839762941	0.0	0.0	0.6755165843722851	0.147382120634459	0.0	-0.4173677205108106	0.3488785194166239	0.0	0.0	0.8642445302019852	0.26526569802801564	0.0	0.0	-0.5614886463154107	0.0	0.7766374740403712	0.5090703498648971	0.0
0.0	0.0	0.0	0.0	0.0	0.7268580220665127	-0.6639308196026832	-0.47683456167578697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.26542982878163457	0.6199104097212272	0.0	0.0	0.0	0.13581683328706198	0.34679721718953793	0.7431897822385681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4996279098559171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23672272590091703	0.0	0.2924745803147859	0.0	0.0	0.0	0.0	0.8740225406440466	0.0
