cpxR	motB	tsr	ydeH	ung	dsbA	yjeP	yqjA	mzrA	ppiD
0.0	0.0	-0.6721212358679622	0.0	-0.3402951790485531	0.0	-0.037506128661334515	0.0	0.9150149102183311	0.4104397070116445
0.007495155248494076	0.0	0.0	0.0	0.0	0.0	-0.6978685157373548	0.0	0.0	0.0
0.0	0.0	0.0	0.7973091236873121	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.49089668900705874	0.0	-0.7936885072849691	0.0	0.0	0.0
0.12870006837666148	0.0	0.0	0.0	-0.6614624662324786	0.0	-0.018072744132950902	0.0	0.0	0.2791216945263639
0.7484460267402988	-0.7485243233386427	0.0	0.0	-0.6561374734155834	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.4739688755944371	0.0	-0.2089081136509776	0.5416014883641788	-0.7213801259640604	0.0	0.4579720214801162	0.757455480190654
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9206459337544453	-0.9558315968606621	0.0	0.0	-0.4796530846506357	0.8581168486245611	0.0	0.28224283329360234	0.2535441954946398	0.0
0.0	0.0	0.0	0.5049438006336392	0.0	0.3390726146728435	0.0	0.0	0.0	0.771066923764263
