astB	argR	artI	artQ	argE	artJ	argI	argA	argC	argF	artP	artM	argB	argH	astD	glnG	astE	astA	astC	hisP	hisQ	hisJ	hisM	yhdW	potI	potG	ddpF	ddpX	yhdZ	potH	ddpA	yhdX	argT	yeaG	ddpD	yeaH	potF	ddpB	ddpC	yhdY	argD	argG	amtB	glnK	gadX	ybaT	lon	asnB	ybaS	gadY
0.0	-0.28423695801757276	-0.8817424243316054	-0.03768877568654716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6702040154486895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.40907489529796004	0.0	0.0	0.0	0.0	0.41373438485956393	0.35273824068920234	0.0	0.0	0.4528361865454597	0.1227064600386521	0.44820034165168926	0.8516505542695462	0.0	0.0	0.8354447533910387	0.0	0.0	0.5139041108478085	0.12461806420132891	0.4202678193612037	0.0	0.0	0.0	0.0	0.852100154838297	0.0	0.0	0.0	0.8512625061162513	0.46410628623269606
0.0	0.0	-0.33049905323423445	-0.4308001082390547	0.0	0.0	-0.5567982089705765	0.0	-0.6655599109362811	-0.03311476390808821	0.0	0.0	-0.8803031460847706	0.0	0.0	-0.25479349214583635	0.0	0.0	0.6507136123657455	0.0	0.016470988618527804	0.0	-0.4128161915577948	0.0	0.0	0.0	0.0	0.0	0.19686290124852784	0.0	0.8618284825817756	0.0	0.0	0.17262869521233742	0.0	0.0	0.0	0.7141617027510182	0.0	0.0	-0.2322350034955889	-0.7035706026945263	0.0	0.6250625174915032	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.42339045414701104	-0.9579877171199769	0.0	0.0	-0.03519194503314793	-0.6434828808996826	0.0	0.0	0.0	0.0	0.00666773105096256	-0.3015224898699671	0.12591861645643335	0.0	0.0	0.0	-0.1607729733340989	0.0	0.0	0.0	0.0	0.3022412459386281	0.0	0.0	-0.03480859760704806	0.08748532805450765	0.0	0.0	0.0	0.0	0.0	0.0	0.20882688729058696	0.7629108506653682	0.6312814069063254	0.5893168800318627	0.0	0.0	0.15809833760928155	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.6196846188977361	0.0	0.0	0.0	0.0	-0.6304597952403128	-0.12102010939270258	0.0	-0.8325320836156607	0.0	0.0	0.0	0.0	0.0	0.0	0.18712218435781508	0.0	0.0	0.0	0.0	0.0	0.5518773659603914	0.16849449551866869	0.0	0.3009963176853887	0.8996931858496053	0.0	0.0	0.0	0.420153392675537	0.0	0.0	0.0	0.0	0.021322058833040378	0.0	0.0	-0.22483325633220375	0.0	0.0	0.5854478868612634	0.69729630531441	0.0	0.0	0.0	0.21954356578185674	0.0
0.0	0.0	0.0	0.0	-0.018172284588217735	0.0	0.0	-0.5239659436047077	-0.48800730938091874	0.0	-0.3365859519690275	0.0	0.0	0.0	0.0	0.0	0.0	-0.025516037784315576	0.0	0.0	0.09089764008516565	-0.8565821570809931	0.0	0.0	0.005199610302807883	0.7724869967924199	0.0	0.0	0.6038768947259767	0.0	0.0	0.0	0.0	0.0	0.5434671611127668	0.0	0.0	0.0	0.0	0.0	-0.8682970912195742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9304463898850244
0.0	-0.2899737295228988	-0.3857543175108731	0.0	-0.436340210493654	0.0	0.0	-0.9330861596390605	-0.5097048012539744	0.0	-0.043590383836999536	0.0	0.0	0.0	0.24081489136498604	0.0	0.0	0.0	0.12233378020415514	0.0	-0.3410036621034692	-0.8629213077947497	-0.7473190715536475	0.0	0.0	0.0	0.7808503969759453	0.8300482304010472	0.0	0.0	0.0	0.0	0.11518150284999916	0.8844318951685309	0.0	0.8710598351956875	0.0	0.0	0.0	0.1834806943586109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9473250695746598	0.0	-0.3524233317002654	0.0	0.0	0.0	-0.5304869737010449	0.0	0.0	0.0	0.0	-0.5441881027072668	0.0	0.0	0.0	0.0	0.5129722253507815	0.0	0.0	0.0	0.0	-0.6535518546588719	-0.5139977908693254	0.0	0.0	0.0	0.0	0.0	0.0	0.48639841910310594	0.0	0.0	0.0	0.0	0.0	0.5022385006362171	0.6202503890820195	0.6685043571915702	0.0	0.0	-0.4853377777617425	0.0	0.06404123142916501	0.0	0.0	0.0	0.0	0.0	0.0	0.8351774446753424
0.0	-0.0583931349683553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08666002820245922	0.06058432110641336	0.0	0.44297496011432924	0.34233865681869546	0.9316117442615559	0.0	0.0	0.0	-0.5882296464405954	0.5607565626519226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5298691297155201	0.664930637792986	-0.02818400388941452	0.0	0.0	0.0	0.0	-0.2114094167482108	-0.24321030848659575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.38499038270674646	0.0	0.0	-0.5214401003904641	0.0	-0.12608127342537045	-0.311841263435781	0.8252117561182025	-0.30989593733102083	0.793511537285044	0.0	0.0	0.0	0.0	0.0	-0.19504828215576708	0.0	0.0205387101048847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6228130567887091	0.0	0.14894906441647304	0.0	0.0	0.32366048654485624	0.0	0.0	0.0	0.17851671822868156	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.6544614373706281	0.0	-0.046361680841073394	0.0	0.0	0.0	0.0	0.0	-0.5190489934757352	-0.07207011384889483	0.0	-0.4400642823893577	0.0	0.0	-0.8478870245162398	0.0	0.06621631658469893	0.0	0.0	0.0	-0.4233819073997438	-0.008846218697726727	0.0	0.0	0.0	0.0	0.09546473987288094	0.46866119365629383	0.0	0.0	0.5598425609543859	0.0	0.9213550589718252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2987489018123597	0.3887068903036022	0.0	0.0	0.18330341319317142	0.31744931344162663	0.0	0.5278860342410159	0.0
