dapB	argP	recF	dnaA	dnaN	nrdA	nrdB	nrdR	polA	yjeV	nrdD	nrdE	nrdF	argO	nrdI	fur	nrdH	fecR	fepD	yhhY	gpmA	fhuA	fhuE	ryhB	entS	fhuC	exbD	fhuB	fepC	exbB	nohA	ydfN	ygaC	fecI	fepG	tonB	tfaQ	fhuD	ftnA	nrdG	entD	entB	fepA	feoA	entC	fiu	katE	metH	feoB	cirA	fhuF	oxyR	mntH	katG	sufE	sufA	sufD	iscR	sufB	sufC	sufS	nsrR	hmp	sodB	metR	metJ	ahpC	metA	metE	ahpF	pheS	grxD	rybB	rffE	wzxE	wzyE	yfhB	ydhO	rffD	rffC	metN	pheT	rffA	mntR	mhpT	metI	rfe	grxA	rpmI	ydbD	thrS	iscU	trxC	dkgB	tehB	rffM	rffG	rffH	rffT	wzzE
0.3466984566503857	0.0	-0.5615346082486212	0.16974913219348914	0.0	-0.46069376365202286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05576035852086991	0.0	0.0	0.0	0.0	0.0	-0.6525494097732008	0.0	0.0	0.7916042478596321	0.0	0.0	0.0	0.0	-0.9176015020348132	-0.4569308396894485	0.0	0.0	-0.46219307160936296	-0.9373699966818094	0.0	0.0	-0.2558258352801204	0.7042146045661529	-0.5078508991282433	-0.7862633420154452	0.0	0.0	0.0	0.0	0.0	0.0	0.14936297202185822	-0.6024551682639867	0.0	-0.3494973764754832	0.0	0.0	0.0	0.0	0.0	0.38782019281407853	0.0	0.0	-0.45168988313525915	-0.03849621751482396	0.0	0.0	0.0	0.0	-0.7574581294320524	0.0	-0.3699113614857197	0.24042076596683137	0.0	0.0	0.0	-0.25798916816711426	-0.9894649849738926	0.0	0.0	0.0	0.0	-0.011122039053589106	0.0	0.0	-0.4868524225894362	0.0	-0.12311601568944752	0.0	0.0	0.0	0.0	0.0	0.0	-0.9388120141811669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.2983855240269137	-0.3578808678205656	0.0	0.0	0.0	-0.01140179279758255	0.0	0.0	-0.3145402946975082	0.0	0.0	-0.12412280985154212	0.0	-0.9967073856387287	0.0	0.0	-0.6649643376003951	-0.39406962040811777	-0.49297482147812843	-0.11950457165949047	0.0	0.0	0.0	0.0	-0.0015251096338033676	-0.2422036009375006	-0.7924676316324621	-0.4056303594261408	0.0	0.0	0.0	0.0	-0.5584747469983995	-0.47552392981015146	0.0	0.0	-0.04207270126789808	0.0	0.0	-0.36869493406265974	0.0	0.0	0.0	-0.9691992516163737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.39574104056513487	0.0	-0.11646354291588068	0.0	-0.28555988776497543	0.0	0.0	0.500845223217301	0.0	0.0	0.0	0.6727265649577827	0.0	0.0	0.6147039370064072	0.0	0.0	-0.5515896291472018	0.0	-0.5157434069551528	0.0	0.0	0.0	0.0	-0.948463155888021	0.0	0.0	0.0	0.0	0.0	-0.018363921204581857	0.0	0.0780925191284972	-0.18553732661530375	0.0	0.0	0.0	0.0	0.0	0.0	-0.13042445527389646	-0.36930975085124373	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.5238442753446895	-0.7700630517210811	0.0	0.0	0.0	-0.23030969430692494	-0.5360272445250303	0.0	-0.26848886301741004	0.0	0.0	0.0	0.0	0.0	-0.06892880937084556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5813552904874086	-0.8993987357243896	0.0	0.0	0.0	-0.6527069951407611	0.0	-0.24840905680321157	0.0	-0.27772237663157284	0.6409295762370338	-0.27924096467904747	0.0	0.0	0.0	0.0	0.0	-0.44701037160120904	0.0	-0.0653429124347763	-0.5387641256675124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.42017524436468223	-0.7754947792273015	0.0	0.0	0.0	0.0	0.018089094682626317	0.0	-0.9741219144780189	0.0	0.0	0.0	-0.5010115124502195	0.0	0.0	-0.3161653517745435	0.0	0.0	0.0	0.0	0.0	0.0	-0.15449703088961542	0.0	0.0	-0.808849576395005	0.0	0.0	0.0	-0.31027934048324823	0.0	0.0	-0.8977225765120238	0.0	0.0	0.0	0.6286421866959827	-0.8809244614094496	0.0	0.0	-0.057177435141056776	0.0	0.0	0.0
0.0	0.0	-0.1650580584537238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7262997792568058	0.0	0.0	0.0	0.0	-0.5327865073923022	0.0	-0.52550876326859	0.0	0.0	0.0	-0.5528584953863174	0.4586684277588031	0.0	0.0	-0.7032876133453101	0.0	0.0	0.0	-0.15745125710964203	-0.03584122867323458	0.0	0.0	-0.7385956507641822	0.0	-0.12881703581660986	0.0	-0.9397858746815473	-0.3654796921182424	-0.21669200342148542	0.0	0.0	-0.2173905533272773	0.0	0.0	0.13519339055457247	-0.5003184818197042	0.0	0.0	0.0	-0.14207752631045878	0.0	0.0	0.0	0.11982695499083063	0.0	-0.48976047597030803	-0.7963960452470928	0.0	-0.2157875515986234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.47392777050845325	0.0	0.0	-0.5530698681250215	0.0	-0.8197641586884856	0.0	0.0	0.0	0.0	-0.34489222150295973	0.0	0.3548714864810812	0.0	-0.5962161836214364	0.0	-0.6950735771097243	0.0	0.0	0.0	0.0	-0.7739886613562703	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.4199104746446414	0.0	0.0	-0.6867429011035711	0.0	-0.5008433547336608	0.0	0.0	-0.5370981604792178	0.5185080787279583	-0.5403683236800134	0.0	-0.06620265892706811	0.0	0.0	0.0	0.0	0.0	0.0	-0.6932870571035892	0.8081641471785954	0.0	0.0	-0.2862150580622256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.03244809294119477	0.0	0.0	0.0	-0.9532296783290803	0.0	0.0	0.0	0.0	0.0	0.0	-0.7303403681144118	0.0	0.0	-0.2928064949810505	0.0	0.0	0.0	0.0	0.0	0.0	-0.021555757880005633	-0.23835992580279708	-0.45906808394143983	0.0	0.0	0.0	0.0	0.0	-0.7787275158334523	0.0	0.0	-0.7301430960651487	0.0	0.0	0.0	-0.8501185104250908	-0.21919775335118175	-0.12437141966074705	0.0	-0.03875675587914884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.20524546457454562	0.0	0.0	-0.8708594588097185	0.6461765791101265	0.0	-0.3091512273531407	0.0	-0.9071434917859733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2539826740976423
0.0	0.0	0.0	0.49184496591226584	0.0	0.0	-0.03345296280405946	-0.350174633320421	0.0	-0.1752824098803103	0.0	0.0	-0.5501377321779728	0.0	0.0	0.0	-0.4839386383537203	0.0	-0.6800172892399132	0.0	0.0	0.0	0.0	-0.15880345948971808	0.0	0.0	-0.8198419627733529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16512592113045954	0.0	0.0	-0.04012972442433238	-0.5698209828697145	-0.9708589708898216	0.0	0.0	0.0	0.0	0.0	-0.2396951278205961	0.0	0.0	0.0	0.0	0.0	0.0	-0.3957574966212545	0.0	0.1495321485759069	-0.49332643300294876	0.0	0.0	0.013885207724787185	-0.2395016208072709	0.0	0.0	0.0	-0.3771293447352946	-0.28460106833213694	0.5635039960418277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.028713458217680454	0.0	0.0	0.0	0.04417403897250767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5500062764622271	-0.4483336000703275	0.0	0.0	-0.7989983768202364
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8984484144020826	0.0	0.0	0.0	0.0	-0.2498004122171551	0.0	0.0	0.0	0.0	-0.4188631707802415	-0.9571516904979944	0.0	-0.3435638032387942	0.0	0.0	0.0	0.9614058055290482	0.0	0.0	-0.11251828144304454	0.0	0.0	0.0	-0.637915106723085	-0.7872885609976947	0.0	0.0	-0.7384058185853064	0.0	0.0	0.4284408166951498	0.0	-0.8947364648338407	0.0	0.0	-0.8136439668014646	-0.05651623313315213	0.0	0.0	0.38448446711228323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1824186718338685	0.0	0.0	0.05676415577626233	0.0	0.0	0.0	-0.05734747811220586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5692174879368395	-0.7916208056267351	0.0	0.0	-0.5785444600041956	-0.04449177463538945	-0.8139262502081692	0.0	0.0	0.0	-0.07342012831941247	0.0	-0.5904704488348216	0.0	0.4667730791832256	0.0	0.0	0.0	-0.11962186312302947	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.3787082747664703	-0.33640244308779754	-0.16923915273457296	0.0	0.0	0.0	0.0	-0.1997292791493237	0.0	0.006904253235173941	0.0	0.0	0.0	-0.7992641651071608	-0.29839469864964485	0.0	0.0	-2.913549542427063E-5	0.0	0.0	0.0	-0.07764361891895533	-0.2134976873639971	0.0	0.0	0.0	-0.852353215450421	0.0	-0.7990487129427493	-0.20662789442576468	0.0	0.0	0.0	0.0	0.0	0.0	-0.7444916248787194	0.0	0.0	0.0	-0.9935705719981343	0.0	0.0	0.0	0.0	0.0	-0.21153199835680425	0.0	-0.5853400654159486	8.346951389098245E-4	0.4309083411672853	0.0	0.0	0.0	-0.01085904826546713	-0.527092789998278	0.0	0.0	-0.051026467216171434	0.0	-0.8411373712588102	0.0	0.0	-0.3096295159775764	0.0	0.8011504405096553	0.0	0.0	0.0	0.0	-0.14788793120533228	-0.7958727879449725	-0.12154852948151529	-0.7504055548924953	0.0	0.0	0.0	0.0	-0.927861314965412	-0.6965076825581491	0.0	-0.2695293070282787	0.0	0.0	-0.13461564667522907	0.0	0.0	-0.007470013806596398	0.5739039619791256	0.0	-0.8605427546426654	0.0	0.0	0.0	-0.1619303731713444	0.0
0.0	0.0	0.0	0.08959684388139671	0.1826813809682084	0.0	0.0	0.0	0.0	0.0	0.0	-0.06871892372146249	-0.25594214047305286	0.0	-0.0328369727358222	0.0	-0.8241031807847321	-0.10084272618405521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.13075747503899038	0.0	0.0	-0.44836398330517113	0.0	-0.5567434877157211	0.0	0.0	-0.36645363410934806	0.0	-0.8964273273013532	0.0	0.0	-0.2771000978536904	-0.3914788207039237	0.0	0.0	0.0	-0.5179790977697717	-0.9760922319255769	0.0	-0.05348249012604356	0.0	0.0	0.9111478229341441	0.0	0.0	0.0	-0.1296920608729124	-0.1780471415645133	0.0	0.0	-0.9738020077347755	0.0	-0.07980891356855202	0.0	-0.9647667843382806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8855741953011602	-0.9968561604619026	0.0	0.0	-0.41983030014671385	0.0	0.0	0.0	0.0	-0.13115673884749413	0.0	0.9368337862471002	0.0	0.0	0.0	-0.17823801864869893	0.0	-0.1436028485186398	0.0	-0.6792079177685082	0.0	-0.625475593842566	0.0	-0.07595633761957288
0.0	-8.154548704624176E-4	-0.9107015198096633	0.0	0.1386832720242841	-0.06547947795050957	0.0	-0.6106576886959374	0.0	0.0	0.0	0.0	0.0	0.3439725637082882	-0.16205224627628922	-0.0653895758417502	-0.8413297166116536	0.0	0.0	-0.09755485458299518	0.0	0.0	-0.06710699782706797	-0.4958146749995649	0.6559049063203386	0.0	0.0	0.0	0.0	0.0	-0.18322511855512857	0.0	-0.27279964508488774	0.0	0.0	0.0	-0.30674408259801567	-0.7615098741371185	0.8277184436975976	0.0	-0.012790533248335123	-0.8866869541816413	-0.791321306489408	-0.7704410594888031	-0.7278341501951218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11548259831033647	0.0	-0.3987962163781978	0.057107545455856334	0.0	0.0	0.0	0.0	-0.4357572873695454	0.0	0.0	-0.043465696206833604	0.0	0.0	0.7309749393360914	-0.38590750051662326	0.0	-0.027102323443404616	-0.0297037772834301	-0.5410131821408868	0.0	0.0	-0.8648074821103364	-0.8732089041732252	0.0	-0.8355325795710087	-0.8015158653724939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7559919629711658	0.0	0.0	-0.8153560904320329	-0.7320142781827599	0.0	-0.2876889135222882
