ykgR	crp	yhfA	glpE	glgS
0.5494312400245948	0.32477463139114754	0.0	0.8618719393626452	0.0
-0.02064054545332661	0.10331985736159462	-0.7346271232236177	0.5943076906033457	0.22031973602352806
0.0	0.0	0.0	0.0	0.044695094899368945
0.386933646003334	0.0	0.0	0.0	0.0
0.07542725892419944	0.0	0.0	0.02568680651082104	0.0
0.0	0.0	0.0	0.0	0.2738449794436819
0.31540691952834854	0.0	-0.48733672616072	0.4961501043063254	0.0
0.0	0.0	-0.7905072954017669	0.9730378465965986	0.7921410433213241
0.8734358791975213	0.1643707038358398	0.0	0.0	0.6643010934080011
0.5775977103752924	0.0	-0.8845583135262132	0.0	0.7964842661480434
