birA	bioB	bioA	bioF	bioD	bioC	alaS	hyi	allR	glxR	ybbY	allB	gcl	allA	glxK	ybbV	ybbW	allS	allE	allC
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.17780942074023187	-0.8346287314780056	0.0	-0.49968177848495543	0.0	0.0	0.0	0.0	-0.22861352772451937	-0.8251533752772957	0.0	0.0	0.0
0.0	0.0	-0.8885992008727044	0.0	0.0	-0.7526309371460229	0.0	-0.9285078342072666	-0.1912256833165884	0.0	-4.5552942901849747E-4	0.0	-0.47881909762509167	0.0	-0.016606789315119386	0.0	0.0	-0.013887690845876932	0.0	0.0
0.0	-0.557627113070339	-0.45438171341083944	-0.33601274993270636	0.0	-0.5493754083290696	-0.1741663021966815	0.0	-0.09094252972863615	-0.9467606588732451	-0.585837806109339	-0.6172037019859999	0.0	0.0	0.0	-0.5974155399017036	0.0	0.0	0.4108362599306847	0.0
-0.8139539260882884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.30538327945396304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6618510070309058
0.0	-0.634956490714103	0.0	0.0	0.0	0.0	-0.11789922323077917	0.0	0.0	0.0	0.0	0.0	0.0	-0.33961501135490835	0.0	0.0	-0.7022996344603598	-0.2582282917574048	0.0	0.0
-0.8687021704390645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.15929617080837488	0.0	-0.43003708217293024	-0.8354515952523798	0.0	-0.7331740744411945	-0.19913906627334654	0.0	-0.968114499701187	0.0	0.0	0.0
-0.013230257434770465	0.0	0.0	-0.936498929746449	0.0	0.0	0.0	-0.8158446701709181	0.0	0.0	-0.7319250591099262	0.0	0.0	-0.6501413744408637	0.0	0.0	0.0	0.0	0.0	0.3711814764007942
0.0	0.0	0.0	0.0	0.0	-0.1419252606574446	0.0	0.0	-0.9897521832026541	-0.11464302660897374	0.0	0.0	0.0	-0.4125635495875031	0.0	0.0	0.0	0.0	0.0	0.0
-0.7650521697942168	0.0	-0.6281496474985033	0.0	0.0	-0.606574964011088	0.0	-0.42344935657456517	-0.7469890476204455	0.0	0.0	0.0	-0.09667885932140052	-0.7051095077767968	-0.08862519543617964	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.20438639936037362	0.0	-0.5667332811281085	-0.551748676225543	0.0	0.0	0.0	0.0	0.0	0.0	-0.8952345428988338	-0.5871591884642839	-0.5365427052602172	-0.39418873842805624	-0.01902908179908991	0.0	0.418053567971393	0.3962204305041597
