pdhR	hemL	hha	tomB	cpxR	yqjA	rseC	ydeH	cpxP	yebE
-0.5176792850252241	-0.11137187178246677	0.0	0.0	0.0	0.0	0.0	-0.027062176009865914	0.02111555236782793	0.0
-0.0489587876945734	0.0	0.0	-0.10444959549829513	0.30549786111167926	0.0	0.0	0.0	0.0	0.0
-0.7362106777727604	-0.4479584211949259	0.0	0.0	0.0	0.0	-0.8128242918755859	0.9403955594354845	0.0	0.0
-0.7130582102108747	0.0	0.0	0.0	0.0	0.6797040276839901	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.1312907892871633	0.6295789967925782	0.38461242100741155	0.0	0.0	0.0	0.0
0.0	0.0	-0.3967444127484284	0.0	0.0	0.0	0.0	0.0	0.0	0.5628564323595168
-0.8822875504847616	-0.8698725099675357	0.0	0.0	0.0	0.0	-0.9100132486782968	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.11661976994946599	0.0	0.0	0.0	0.0	0.0	-0.09628111217170954	0.0	0.27350598849747243	0.0
0.0	0.0	0.0	0.0	-0.050843979354805176	0.0	0.0	0.0	0.0	0.0
