allB	allR	ybbW	ybbY	gcl	glxK	ybbV	hyi	glxR	allA	allS	allC	allD	allE	alaS	hofN	crp	hofC	ilvB	spf
-0.9650080983992666	0.0	0.0	-0.23115966957993805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10662652168183413	0.0	0.9277058406545219	0.0	0.0	0.45598031991116417	0.0
-0.8633041887078434	0.0	0.0	-0.003102310700342059	-0.3153479506727308	0.0	0.0	0.0	0.0	0.0	-0.6942914763931185	0.0	0.06910101318571646	0.09784215770422307	0.0	0.0	-0.6466194791719317	0.0	0.0	-0.9595234130974859
0.0	0.0	0.0	0.0	0.0	-0.7607114394195378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7364380202722477	0.0	-0.3930331221781671
0.0	-0.7405982064083219	-0.44030192331410944	0.0	0.0	-0.03984907316043973	-0.36434593982994556	0.0	-0.5186193874105811	-0.22628132230602205	-0.5158624015748501	0.0	0.0	0.0	-0.13174769282341003	0.35704549865782226	0.0	0.0	0.0	-0.9542251967359334
-0.9608126757666469	0.0	0.0	0.0	-0.5989772686734796	0.0	0.0	0.0	0.0	0.0	0.0	0.6128029281958165	0.0	0.16847962781547393	0.0	0.8832965658324209	0.0	0.0	0.0	-0.09379001776687801
-0.03653231309726834	0.0	0.0	0.0	-0.22363253054209054	0.0	0.0	-0.8381398406345397	0.0	0.0	0.0	0.0	0.0	0.02026854327640322	0.0	0.9942632214909789	0.0	0.0	0.0	0.0
-0.6167675831820816	-0.1328159982804209	0.0	0.0	0.0	-0.31720330589450896	0.0	0.0	0.0	-0.13435163581743836	-0.16971225896850228	0.0	0.0	0.8591051165735611	-0.34071801300160587	0.0	-0.019795548170804977	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.9035925709176809	0.0	-0.8763611274771392	0.0	0.0	0.0	0.4757873095791015	0.0	0.0	-0.5954120396636426	0.0	-0.12150232447311282	0.0	0.0	0.0
-0.11825882364064455	0.0	0.0	-0.41541869728825986	0.0	0.0	0.0	-0.10907616326585412	-0.029858098831027746	0.0	-0.5969316517002881	0.0	0.3958162625211098	0.0	0.0	0.0	0.0	0.038677899539537916	0.0	0.0
-0.6464711676817387	0.0	0.0	-0.5157867346424609	0.0	0.0	0.0	0.0	-0.5493032247759402	0.0	-0.21654377970844507	0.7701276940046968	0.488417765300981	0.2087046132678428	0.0	0.4265988601649549	0.0	0.499589012609862	0.39895321909293247	0.0
