envZ	ihfB	hemF	ecpD	ibpB	amiA	uspB	htrE	gcd	pspD
0.0	-0.8390427369158715	0.0	0.0	0.0	-0.6053522853180766	0.0	0.0	0.8298083305416483	0.2711621448249403
0.0	0.0	-0.3438325428869575	0.5675553029986016	0.0	0.0	0.0	0.0	0.0	0.795262876184735
0.0	0.0	-0.47936660842970014	0.8566044452717445	0.0	0.0	-0.45542421261779964	0.0	0.0	-0.008197215167727754
-0.5997407319955528	0.0	0.0	0.0	0.0	0.0	-0.5720623126253486	0.0	0.7541918637288588	0.0
0.0	0.0	-0.11929919477552176	0.24059756334181043	0.6543472992254107	-0.48823379958048463	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.028051068913409236	0.0	0.0	0.8457451660254891	0.923406423680656	0.0
0.0	-0.2720528414938599	0.0	0.0	0.0	0.0	0.0	0.0	0.20500601493398132	0.8122920067832652
0.0	0.0	0.0	0.0	0.0	-0.44137424626387656	-0.3310753796249628	0.5202744036981757	0.0	0.0
-0.17242904007434845	-0.4304776741191745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.4335597902536392	0.0	0.0	0.0	0.0	-0.7842901116237044	0.0	0.0	0.0	0.0
