chpA	hns	proX	gspB	chiA	hchA	mukF	mukE	yjjP	yciG	proW	proV	smtA	cspD	mukB	yciF	gspO	yciE	cysM	relA	cysW	cysB	cysA	cysU	cysP	hslJ	cysK	cysN	cysD	cysC	yjjQ	leuO	bglJ	bglB	bglF	stpA	bglG	leuC	leuA	leuL	leuD	leuB	tauD	cbl	tauB	tauC	tauA	ssuE	ssuA	ssuC	ssuB	ssuD	csiE	acrE	degP	fliC	ilvI	nhaA	nhaR	osmC	pgaC	pgaA	pgaB	pgaD	cspA	ilvH	ftnA	acrF	rrfD	garL	hisM	rrfG	rrsC	lrp	alaV	rrsD	rrsB	rrsH	rrsG	rrlD	thrV	rrlG	rrlC	gltU	rrfH	gltW	fis	ileU	rrfC	rrlH	gltT	rrfB	alaU	rrfF	ileV	rrlB	ileT	rrlE	alaT	gltV
0.4565699025685702	0.0	0.0	-0.1212649755179882	0.0	-0.8893443904817104	0.0	0.0	0.0	0.0	-0.8925636908970773	-0.8761678980663419	0.0	0.0	0.0	0.0	0.0	0.0	0.3388603345984689	0.0	0.0	0.0	0.0	0.0	0.0	-0.7927605463191867	0.0	-0.032191424184839626	0.0	0.0	0.0	0.0	-0.7220638263970613	-0.1583652019035071	0.0	-0.23184691090136766	0.0	0.0	-0.004639469446157812	0.34077427017773226	0.0	0.0	0.0	0.9677780852103042	0.0	0.6321168325385986	0.0	0.0	0.0	0.0	0.16378712414478586	-0.82547727227211	0.5173175061279591	0.0	-0.884640766074881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.002692560898140073	0.0	-0.8820907813496888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8311160132288933	-0.2519292673096061	0.0	-0.10759776155464351	-0.18086403259076178	0.0	0.0	0.0	-0.42637684147924915	-0.26762931026928516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10473029181488325	-0.8082437973935157	0.0	0.0	0.0	0.0	0.0	0.0	-0.127370665082708
0.6002392496145134	0.0	-0.9848730214871466	0.0	0.0	0.0	0.0	0.8564867416353388	0.0	0.0	0.0	0.0	-0.018003875201253135	0.1563185283419229	0.0	0.0	-0.40585511503741145	0.0	0.0	0.0	0.0	-0.08960337936878204	0.0	-0.13252536137588322	0.0	0.0	0.4318067102433359	0.0	0.0	0.0	0.0	0.0	0.0	-0.2851253803819418	0.0	0.0	-0.25298540639054456	0.0	0.0	0.0	0.7486914851779456	0.0	0.0	0.0	0.4611344415244521	0.0	0.0	-0.2188246841387762	0.0	0.0	0.3305041789328091	0.0	0.09352272689991255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5509481958579272	-0.36663433257490396	0.08162669816794721	0.0	0.0	-0.2553326148375413	0.0	0.0	-0.8865114473737776	0.0	0.0	0.0	0.0	-0.5296190909575671	0.0	0.0	0.0	0.0	-0.1288680206052959	0.0	0.0	0.0	0.0	0.42507343751666676	-0.3760081330211995	0.0	-0.31506083626300097	-0.7161300573498011	0.0	0.0	0.3314329857959797	0.0	0.0	-0.228729140246287
0.0	0.0	-0.6556169376708567	-0.19398565054871142	-0.2897208814974874	-0.06965720327571034	0.0	0.0	-0.5408014748245478	-0.8376209768466651	-0.541715155588463	0.0	0.0	0.0	0.0	0.0	0.0	-0.6838313259650022	-0.036908062637773964	0.07762389586594	0.0	0.0	0.0	-0.6827432536520064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.987236290704459	0.0	-0.46481324817931335	0.0	0.0	0.0	0.0	0.0	0.6129815256299789	0.0	0.21745106828941227	0.2836559458551365	0.1020156306695999	0.0	0.0	-0.22437022368739679	0.0	-0.8073545636143535	0.0	0.0	0.0	-0.8077271629590541	0.0	0.4287382257134737	-0.624832415021956	0.0	0.36811610786490223	0.0	0.0	0.0431052594325345	0.6013618976238216	0.2119110106628963	0.0	0.0	-0.7597869075834751	0.0	0.0	-0.5514683150686324	0.8360743470351899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.26095140539109707	0.0	0.0	0.0	0.0	0.0	-0.5562758885789663	0.0	0.0	0.0	0.0	0.43552492664483916	-0.20030302469527106	-0.1915175805905508	-0.7972357305698097	-0.1760705967899412	0.0	0.0	-0.00854380316814285	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.6414289242922256	0.0	-0.6142842390108854	-0.13519227993674576	0.0	0.0	0.0	0.0	0.0	0.0	-0.515926516149193	0.0	0.0	0.0	0.0	0.0	-0.4495224139428804	-0.06134891137480736	0.0	-0.0035554454661905766	0.0	0.0	0.0	0.0	-0.013200872812632977	0.0	0.0	-0.743283188669011	0.20001298825310487	0.0	-0.34426545114551166	0.15784897151630603	0.0	0.0	0.0	0.28117189005090915	0.0	0.18103784876031753	0.0	0.0	0.0	0.0	0.0	-0.3187975105829537	0.0	0.0	0.0	0.0	0.0	0.0	-0.15829386725090444	0.0	0.0	0.0	0.0	0.0	0.44352124057589426	0.0	0.0	0.38034270276564386	-0.21482065529562533	0.0	0.0	0.0	0.13393669192229748	0.0	-0.39207899989560246	0.0	0.0	0.0	0.0	-0.77611088543199	0.0	-0.6982107313815504	0.0	0.0	0.0	0.051268617609139366	-0.256501957308501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5124533253256232	0.0	0.0	0.0	0.0	0.0	-0.2295100776101816	-0.038419084623456
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010232924898476662	-0.4705118441488594	-0.9801110711414367	0.0	0.0	0.0	0.0	0.0	-0.7013861385639757	0.0	0.0	0.0	0.0	0.0	-0.2601306797005236	0.0	-0.7213322094175965	0.0	-0.7371116573922336	0.0	0.0	0.0	0.6322204568122667	0.39474233519078367	0.0	0.0	0.0	0.0	-0.2504165086429566	0.0	0.0	0.0	0.0	0.0	0.6738633944939735	0.0	0.7926994494078117	0.0	0.0	0.0	0.0	-0.1308121036272496	0.0	0.0	0.0	0.0	0.0	0.0	0.5259899182674558	0.0	0.0	0.08143700761966488	0.0384255751079875	0.0	0.0	0.0	0.46898514857968476	0.0	0.0	0.0	0.0	-0.09284848810364577	0.0	0.9175273153327161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.36851448100060225	0.0	0.0	-0.4501884034834802	0.0	0.0	0.0	0.0	0.0	-0.2072412516819475	0.2096316716062231	-0.7049518402200192	-0.40851938677951694	-0.1717856993998837	-0.10352559690363705	0.0	0.0	0.0	-0.7078414538409561
0.0	0.0	-0.8675663580652326	0.0	0.0	-0.2868844538461417	0.22906945658465128	0.0	0.0	-0.6702129410114139	0.0	0.0	0.0	0.26295079523404313	0.0	0.0	-0.8686263670679182	-0.5719698064494878	0.0	0.0	0.0	0.0	0.0	0.0	-0.4031089646741748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.298150846734643	0.0	0.068701375816557	0.0	0.0	0.0	-0.07487985038711667	0.26927981635826365	0.0	0.0	0.0	0.0	0.0	0.4389048274616687	0.3130504300181295	0.0	0.0	0.0	0.3461382514116697	0.0	0.0	0.0	0.0	0.0	-0.37303494941443205	-0.3401371347717941	0.0	0.0	0.0	0.4375867968304854	0.5413188737246241	0.0	0.0	0.029025553411498928	-0.4659801737871021	-0.847031029406935	0.0	0.0	0.0	0.0	0.0	0.0	-0.8454774154815823	0.0	0.0	0.0	0.0	-0.9499505928251892	0.13083251297265774	0.0	0.0	0.04869946114308743	0.0	0.0	0.0	0.0	0.0	0.516534319038592	0.0	0.0	-0.6692651768680662	0.0	0.0	0.0	0.0	0.0	0.3956751000512969	0.0
0.0	0.0	0.0	-0.579971928615123	0.0	-0.821924912976101	0.7690657031590978	0.0	0.0	0.0	0.0	0.0	0.270200873447897	0.0	0.13722439456153834	0.0	0.0	0.0	0.0	0.3892587642493476	0.0	0.0	0.0	-0.6989153679460287	0.0	0.0	0.0	0.19263143183534276	0.0	0.0	0.7822409202323961	0.0	-0.8712913633789867	-0.28265273524448276	0.0	0.0	0.0	0.2773673283797153	0.0	0.4262104622860505	0.4405562900083477	0.0	0.0	0.0	0.0	0.18292866507647318	0.0	0.0	0.0	-0.6489898392464966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017767610520077026	0.0	0.0	-0.22271534342537735	0.0	0.0	-0.8544356259517372	-0.8772667229641229	0.0	0.0	0.0	-0.6357969061937183	0.0	-0.46678861090913415	-0.33966739683531955	0.09869116683080403	-0.9735236312262714	0.0	0.0	0.0	0.0	0.0	0.0	0.3217315573139442	0.0	0.0	0.0	0.0	0.0	0.0	0.370673928074969	-0.5906927434261888
0.0	0.9405004712638224	0.0	-0.9841083665378392	-0.2012282854411751	0.0	0.8726228667757402	0.0	0.0	-0.2984052919782698	0.0	0.0	0.5517071303467621	0.830171153877724	0.0	-0.8870215006172657	0.0	0.0	0.0	-0.06784957108732269	0.0	-0.12635463220067322	-0.19875418876848316	0.0	0.0	0.0	0.0	0.0	0.5256936720796128	0.0	0.0	0.03063703867609925	-0.6925070292782038	-0.7812256088946015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3678050427193028	0.0	0.0	0.8285957919443934	0.0	0.0	-0.9131999469827861	-0.5609495330136269	0.6088876236946665	-0.8058435600250959	0.7665448669502195	0.0	0.0	0.5932671453301878	0.0	0.0	0.0	-0.1973057402254087	0.0	0.7381588245156061	0.12971641108272924	0.0	0.0	-0.10526148750197861	0.0	-0.08894060272723436	-0.331747216612148	-0.29801297769881785	0.0	0.0	-0.7960623325780034	0.0	0.0	0.0	0.0	0.0	-0.8091587112285197	0.0	0.35155222110242135	-0.3905968207400292	-0.07148805678010717	-0.044205094235394315	0.0	-0.5365864641498774	-0.8805390771012753	0.0	0.0	0.0	0.0	0.30875857494644354	0.0	0.0	0.0	0.0	0.0	0.017243546054232395	0.32661784243812975	0.0
0.0	0.0	0.0	-0.538698622956872	0.0	-0.3545405021868646	0.0	0.0	-0.2572552436031401	0.0	0.0	0.0	0.05517001259358422	0.0	0.0	0.0	-0.5190130404662341	0.0	0.0	0.0	0.0	-0.706999741261825	0.0	0.0	0.0	-0.8333570687100291	0.043847154986224095	0.7798391252091271	0.8861130718831172	0.20521340842146094	0.0	0.0	0.0	-0.09578787628561258	0.0	0.0	0.0	0.0	0.0	0.2990617695570989	0.13747506626717393	0.24915356778613354	0.0	0.16549178673041937	0.0	0.0	0.16331142651070904	0.0	-0.1950842698570341	-0.667678490979597	0.30142604436440096	0.0	0.0	0.0	0.0	0.7709546347578139	0.0	0.0	0.0	-0.3551542648536158	0.0	0.0	0.0	0.2548682897955754	0.0	0.0	0.0	-0.27404436445795	0.0	0.0	0.650206859349435	0.0	0.0	0.0	-0.4529105785768479	0.0	-0.0106625836320009	-0.7892116419970989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.016827125263929432	0.0	-0.40440373063730467	-0.07689468943422417	0.09182920999697874	-0.3163495643530041	0.0	0.0	0.0	-0.10032659843345981	-0.01007275484269532	0.0	-0.6797680316958576
0.0	0.0	-0.6880409892182797	0.0	0.0	-0.6091496804729104	0.35582947021899025	0.9414646275763823	0.0	0.0	0.0	0.0	0.0	-0.03896834515328334	0.3729298088828119	-0.2743328942451626	0.0	-0.4262776058167219	0.0	0.0	0.0	-0.6841306369751692	-0.45133115600413776	0.0	0.0	0.0	0.17376387577701263	0.0	0.0	0.0	0.6245622939875084	0.18769668092954284	0.0	0.0	0.0	-0.42806535540148616	0.0	0.907430355988855	0.0	0.0	0.004708742870237877	0.0	0.0	0.6939801866569923	0.14840449914493276	0.0	0.0	-0.29521304763238265	-0.06647026841528714	0.0	0.0	0.0	0.0	-0.038035060511901975	0.0	0.32467131921659126	0.0	-0.8007269036024809	0.3502338857880243	0.0	0.49877055143071186	0.0	0.15955881945668116	0.0	0.0	0.0	0.0	-0.19788360968232155	0.0	-0.9764110166579485	0.0	0.0	-0.4118235860951245	-0.4528818072285503	0.0	0.0	0.0	0.0	-0.3606869406066835	0.0	0.0	0.0	-0.3874465410889013	0.0	0.0	0.0	-0.14964476134628057	0.0	-0.3884735612664372	0.0	-0.11304832723831515	0.0	0.0	0.0	0.0	0.0	0.0	-0.31999103925889405	0.0	0.0
