nuoG	narL	dcuS	torC	hybO	hybG	hybF	ynfE	hybB	hybD	arcA	hybC	hybA	hybE	cydD	moeB	moeA	cydC	ubiC	ubiA
0.0	-0.6253373853396624	0.0	0.0	-0.9740116856992245	-0.6085433675907552	0.0	0.0	0.0	-0.6044106816407293	0.0	0.0	0.0	0.0	0.0	0.5665655617467769	0.0	0.0	0.0	0.0
-0.1053121878205523	0.0	0.0	0.0	0.0	0.0	-0.289705294650048	0.0	0.0	0.0	-0.0785754022654146	-0.33698562532663345	0.0	0.0	0.0	0.0	0.6787720269839295	0.0	0.0	0.0
0.0	0.0	-0.6759356921538711	0.0	-0.07249601860530674	0.0	0.0	0.0	-0.6933957892470062	0.0	0.0	0.0	-0.5130323618650436	0.0	0.0	0.9617879278357782	0.6882829420118608	0.0	0.0	-0.7463841543067247
0.0	0.0	-0.04553187219426036	-0.6138839039485902	-0.05178432120010257	0.0	-0.5807112546171993	0.0	-0.1956250148359686	0.0	0.0	0.0	0.0	0.0	0.0	0.009259659969777671	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.6072111590765417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.87590342015028	-0.5158278483431786	0.0	0.0	0.0	0.0	0.0	0.0
-0.35711278546589464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8254239780362695	0.6808427541350514	0.4258362622331538	0.0	0.0	0.0	0.0
-0.4332631287536308	0.0	0.0	0.0	-0.8208616974297911	-0.07574094994924963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1297103409505464	0.0	-0.8004493659827858	-0.2853782719466835
-0.006386104868604248	0.0	0.0	0.0	0.0	-0.7663728026673198	0.0	0.0	0.0	0.0	0.0	0.0	-0.47161730215884745	0.0	0.2699403210376888	0.05484563176107487	0.0	0.0	0.0	-0.18482935731299222
0.0	0.0	-0.20351770473644137	0.0	-0.9031778683420271	0.0	-0.8614236891735345	0.0	0.0	-0.5059057981707156	0.0	0.0	-0.17185208154842257	-0.25437412201426923	0.0	0.5403587512537547	0.0	0.09518593700298243	0.0	-0.08941283146850765
0.0	0.0	-0.8521350473165512	-0.8964351878967136	0.0	0.0	-0.8163201936986297	0.0	0.0	-0.23278210149146616	0.0	-0.7430466967634857	-0.3046059478074312	0.0	0.0	0.0	0.0	0.9518797286941962	-0.2541437530890107	-0.45822230563499033
