fhlA	hydN	hyfB	hyfR	focB
0.0	0.46752413924676106	0.0	0.2869706457131519	0.6028935976909429
0.9400541104479322	0.15905353081305254	0.0	0.0	0.40941383085455296
0.1718577551292816	0.44901413031746373	0.0	0.0	0.0
0.009275566284600814	0.0	0.0	0.0	0.0
0.4370918194400707	0.15161543785487044	0.0	0.6290648093563481	0.0
0.0	0.6934806525603376	0.0	0.7694758957368298	0.0
0.7742070932509938	0.0	0.4487134408262672	0.0	0.0
0.0	0.8539135456446998	0.0	0.0	0.0
0.0	0.0	0.6381587422509791	0.0	0.0
0.0	0.6733341720316999	0.4774908243269773	0.013759050576479661	0.0
