rfaY	marA	soxS	fpr	pqiB	rfaZ	pqiA	poxB	inaA	zwf	rob	nfo	tolC	ygiC	ygiA	ygiB	phoP	acrB	acrA	fumC	marB	marR	sodA	micF	acrR	envR	soxR	mprA	ybaO	phoQ	mltF	emrA	pgi	emrB	fldA	mgtA	yrbL	ribA	aslB	slyB	ybiS	rimK	nfsB	borD	pagP	ybjN	fldB	nfsA	mgrB	rstB
0.0	0.0	0.0	0.0	0.0	0.0	0.06936035005167415	0.7423595280697937	0.0	0.0	0.0	0.0	0.0	0.0	0.26679335148806055	0.0	0.0	0.0	-0.3775106070097536	0.0	0.0	0.527133763918952	0.0	-0.1244223283164324	0.0	0.0	0.0	0.0	0.26883771363183245	0.0	0.0	0.0	0.16738070981573017	0.0	0.0	0.0	0.0	0.04046427916161813	0.0	0.0	0.0	0.0	0.0	0.0	-0.030925928342818293	0.0	0.09378298512805067	0.0	0.12146791026523152	0.0
0.6861982827235921	0.0	-0.13119363997603645	0.0	0.1458493687421755	0.37258603246348176	0.5192420732022851	0.3194611766221369	0.8582047757854161	0.0	-0.1119215083308518	0.0	0.5710841823179026	0.0	0.0	0.0	-0.3989583358634263	0.0	0.0	0.0	0.0	0.0	0.8441440624077805	0.0	0.0	-0.060383381554856896	-0.5983848283067346	0.0	0.9255820561619788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37727530711688195	0.0	0.0	0.4123317209654922	0.0	0.0	0.0	0.0	0.32496064477100234	0.0	0.5890757786516766	0.7692159742821548	0.0
0.0	0.0	0.0	0.0	0.5233425313816146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.588453703109723	0.0	0.4933771256134534	0.0	-0.4306719406302321	0.0	0.0	-0.6783291643732706	0.0	0.0	0.0	0.0	0.0	0.0	-0.5642471781466156	0.23597548645458508	0.0	0.0	-0.4175758804194629	0.09124581693667622	0.0	0.23061267591056933	0.0	0.0	0.0	0.0	0.5944483867151783	0.0	0.10737118882517944	0.28942290453249475	0.6387017414543966	0.0	0.0	0.0	0.0	0.0	0.22796575918340556
0.9630548469417705	0.7152277358894247	0.011970600080612404	0.6049454543939062	0.0	0.0	0.0	0.20267665827035852	0.0	0.0	-0.6386072970926762	0.5565745273749965	-0.002886946937466689	0.17103594380113152	0.0	0.9281862522718185	-0.013756386935710907	0.0	0.0	0.0	0.0	0.0	0.014246212587226262	0.0	0.0	0.0	-0.12426687311381102	-0.1834327548276633	0.0	0.0	0.16848429515065963	0.0	0.0	-0.8155277490150183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009611564330573572	0.0	0.5905418986093441	0.0	0.0	0.4449781843103077	0.0	0.0	0.0
0.0	0.08215889447303593	0.3773221228876443	0.6867515913875976	0.0	0.837066408334544	0.04985163223721375	0.3528429502467061	0.06278647325685599	0.0	-0.8187897650059313	0.2784349082182782	0.0	0.0	0.36255107085021515	0.4912077575233454	-0.5810074284672737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4951125835068524	0.0	0.0	0.4894074244801175	0.0	0.0	0.0	0.8575959571355354	0.0	0.0	0.0	0.0	0.0	0.0	0.5552022786663814	0.0	0.0	0.43218651534271335	0.0	0.7158595523904618	0.8216309342940072	0.0	0.3923518232303994
0.0	0.0	-0.1421751270862936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.143651190912351	0.16117046700377635	0.6439535569675018	0.0	0.0	0.0	0.0	0.4591910854653221	0.0	0.0685555166507969	-0.1556908478742013	0.2463254375963666	0.0	-0.06237597903498726	-0.005990253761410713	0.0	0.0	-0.7265422688797116	0.6777111354703396	0.0	0.0	0.0	0.1072094260342017	-0.6233736833091825	0.0	0.0	0.0	0.28825657667018567	0.599581847206169	0.0	0.0	0.0	0.6322234640085127	0.0	0.0	0.0	0.0	0.10880236913791995	0.02092252674108186	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.5052176825960755	0.0	0.0	0.10047019331497636	0.0	0.0	0.0	0.28838036583418813	0.4651817200778641	0.471829163633349	0.0	0.0	-0.664603536715731	0.0	-0.44130778473480736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7525379520329027	0.0	0.7515984877389145	-0.324512024410069	0.3981304202787176	0.0	0.0	0.0	0.771885873963002	0.0	0.0	0.6286270970249669	0.0	0.0	0.42029565984392425	0.0	-0.011256033748119149	-0.021953110867522545	0.0	0.0	0.0	0.0
0.0	0.0	-0.3580201771436899	0.798391045417098	0.3704076015599744	0.0	0.04321066665254821	0.8228448321888591	0.0	0.0	0.0	0.5902222499396341	0.0	0.0	0.0	0.0	0.0	-0.26165110601850333	-0.7110349850263447	0.0	0.0	0.0	0.5544793254588731	0.0	-0.4118218468502164	-0.5834879144094884	0.0	0.0	0.0	0.0	0.5130336965810728	-1.0112952440977097E-4	0.01339379992332012	0.0	0.40195131489982416	0.740128725001563	0.215987906771589	0.2623096116947392	0.5549368877023843	0.0	0.0	0.0	0.0	0.260600651019458	0.0	0.0	0.0	0.7007559957389454	0.0	0.0
0.0	-0.016027308572734607	0.0	0.8819670007763633	0.21192613288059095	0.0	0.0	0.0	0.0	0.20883687620764163	0.0	0.0	0.0	0.6794540442215171	0.41587633905733307	0.13867340914538742	0.0	0.0	0.0	0.6803121303616921	-0.6497892299448619	-0.2754103009008608	0.0	0.0	0.0	-0.2801304324530065	-0.4370605412404984	0.0	0.0	0.0	0.5843001330647838	0.0	0.4687670431192562	0.0	0.0	0.18520932358500802	0.4090751204442865	0.0	0.0	0.0	0.9220094596152628	0.0	0.0	0.5857912275113354	0.0	0.0	0.7530136590465513	0.6918356095381747	-0.019908674503063772	0.0
0.08368702718736362	0.10157012702832102	0.0	0.0	0.8490101799578146	0.0	0.0	0.5191293146772678	0.0	0.0	0.0	0.724685809310122	0.0	0.0	0.0	0.0	0.0	0.530632099529798	0.0	0.0	0.0	0.24763048152655442	0.0	0.0	-0.2950027098413557	-0.29629868012852967	0.0	0.0	0.5533428867301284	0.0	0.0	0.0	0.0	-0.43417460611090064	0.0	0.0	0.970975036480341	0.9088150215464095	0.186052065115833	0.4785390200795726	0.0	0.0	0.3139903137181874	0.11162779816539985	0.0	0.0	0.0	0.0	0.0	0.6429990924197572
