nuoB	narL	ogt	torA	hybA	ynfF	hybC	hybO	hybB	torC
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2957275821827352	-0.696424521273002	0.0
0.0	-0.2757037221454084	-0.019962119803640037	-0.6413679129909724	-0.8628748902119696	0.0	-0.8010789260733873	-0.6976276049390435	-0.5168506281916052	0.0
0.0	-0.9138934768270701	0.0	0.0	-0.8186299267690629	0.0	-0.9686124429572374	0.0	0.0	-0.7719667928759009
0.0	0.0	-0.0031319953770069173	0.0	0.0	-0.6223239633254707	0.0	0.0	0.0	-0.2161748802755028
0.0	-0.6161892265081406	0.2538039354338618	-0.4069665349088609	0.0	0.0	0.0	0.0	-0.6999821315985173	0.0
0.71553009196497	-0.5593031130265445	0.0	0.0	-0.1740887190680951	0.0	0.0	0.0	0.0	0.0
0.0	-0.9790585138835013	0.6730615960630896	0.0	-0.8577623523306102	-0.8489992211107165	0.0	-0.06345926434732974	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.7601420672144741	-0.22914203279651701	0.0	0.0	-0.5628178098704666
0.0	-0.39343985822051764	0.0	-0.7779649016447365	-0.1328318112064153	0.0	0.0	0.0	-0.5099710235372186	-0.6877836741041392
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
