fecD	pdhR	tomB	hemL	hha	cpxR	yjeP	motA	yqjA	cheW	rdoA	ung	rseA	ydeH	motB	cpxA	rseB	bacA	ycfS	ppiD	rpoE	tsr	psd	mzrA	dsbC	yebE	ftnB	cpxP	yidQ	yccA	rseC	cheA	dsbA	baeS	baeR	mdtB	spy	mdtC	mdtA	mdtD	acrD	csgA	csgD	csgB	csgC	csgF	csgE	rstA	csgG	ompR
0.0	0.0	0.0	0.0	-0.338506838073954	0.0	-0.48401840100996196	-0.42274445900693536	0.07729782908839725	0.0	0.0	0.0	-0.26353123947046697	0.0	-0.9011631389148533	0.24742186963097093	0.0	0.0	0.9060826161202633	0.4732810846813664	0.0	-0.6678996903356165	0.0	0.0	0.0	0.0	0.0	0.9072894174320785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.015771619685401125	0.0	0.0	0.0	-0.14835053028996092	0.0	0.0	0.039153707884650335	0.0	-0.29497124277986586	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.8289703896734864	-0.34906488517299294	0.0	0.0	0.17959290639263598	0.0	0.0	0.0	-0.5436474843882024	0.2313534264406645	0.0	0.0	0.06650471936693719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6814784549549298	0.44059991694001227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49448820348974604	0.15978874972797688	0.0	-0.5586239688564092	0.0	0.0	-0.5093565761072905	0.03535177253226529	-0.40532380901277065	0.0	0.0	-0.5268304566852748
0.0	0.0	0.8023106492301217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6917942742700598	0.0	-0.8966159117408097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7443993811373384	0.0	0.06468138794360431	0.0	0.0	-0.5997364213690162	0.0	0.45146120381452004	0.0	0.0	0.3834702672498453	0.0	0.8581589780675253	0.2914116294696583	0.6702604010585671	0.0	0.0	0.29662981817041534	0.43615160509809514	0.0	0.0	0.0	-0.05231228657066822	-0.44340564508860936	-0.311268090037629
0.0	0.0	0.0	0.0	0.0	0.0	-0.1690745516680181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21033999522260285	0.0	-0.6944476386997849	-0.29846258903853595	0.8808670624838211	0.0	0.0	0.5124421059060917	0.0	0.0	0.555228521901826	0.0	0.0	0.0	0.0	0.20749963151161963	0.0	-0.03316861124314974	0.0	0.0	0.687493876169992	0.0	0.0	0.0	0.0	0.0	0.0	-0.9770546993240714	-0.4553431086242199	0.0	0.0
0.0	-0.179926736978814	0.7828358031520388	-0.26849485700950027	-0.550243012374267	0.0	-0.5295987417921424	-0.3162713737692684	0.23178971558494113	0.0	0.0	0.0	-0.12176605430431664	0.6339388367379335	0.0	0.0	0.0	0.3228139368959772	0.0	0.0	0.0	-0.532635607291013	0.0	0.0	0.37502775631158974	0.0	0.0	0.0	0.0	0.0	-0.7887898904737085	0.0	0.0	0.0	0.0	0.520351873903178	0.6832449185794531	0.0	0.8585815248652949	0.0	-0.03165150261068777	0.0	0.0	0.0	0.0	0.0	-0.5959245518315583	0.0	-0.2943481277947687	0.0
0.0	0.0	0.5972877248832724	0.0	-0.7998111583292484	0.2888572365854069	-0.043527317233383656	0.0	0.0	0.0	0.10712864123051075	0.0	0.0	0.0	-0.6985124151688069	0.0	-0.2669208110310137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44987644708029356	0.2424075398937584	0.8058834276069031	0.0	0.0	0.23158889784821374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7803595422874793	0.0	0.0	0.0	-0.26394348357330066	0.0	0.0	0.014855283750619397	0.0	0.0	0.0	0.0
0.9358554996530413	0.0	0.16339201472604195	0.0	-0.3739125947467983	0.0	-0.04426900367252529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6476964688348108	0.0	0.27039785046624715	0.0	0.0	-0.883285075891763	-0.4198341406881809	-0.7540162776131183	0.0074134498116560435	0.0	0.0	0.6897418068163172	0.0	0.0	0.0	0.0	0.0	-0.03298302185811239	0.7736737812053915	0.0	0.0	0.0	0.0	0.5872229568767949	0.0	0.0	0.0	0.0	0.550422918515798	0.0	0.0	-0.47657413384877145	-0.43106719898059964	-0.07892399642555048	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.2914035951253027	0.0	0.0	-0.19580049137584865	0.0	0.0	0.0	0.0	-0.2999692400917411	0.0	-0.5616252461913973	0.4325857464366662	0.5661665708084249	0.5867309084911541	0.0	0.0	-0.33896684437058866	0.0	0.0	0.0	0.0	0.0	0.0	0.16839312142104906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3176296234455983	0.47006005421146413	0.0	-0.08293962388259579	0.0	0.0	0.0	-0.9965498812962323
0.0	-0.7533725199755281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7225795788690448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.45759454369544983	0.0	-0.7782427272759378	0.0	0.16077882015391615	0.0	0.0	0.0	0.0	0.0	0.0	-0.11832533776760101	0.0	0.0	0.0	0.0	-0.024582748893430928	0.0	0.0	0.0	0.0	0.0	-0.21049683376672668	0.0	0.0	0.4893739283740778	0.0	0.0	-0.33058514714179565	0.0
0.38804268995103225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8091567957308143	0.0	0.0	0.0	0.0	-0.8527152289170772	0.0	0.0	0.0	-0.674615322612226	0.0	-0.3845623133238405	0.8575465598822571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7546317663625386	0.0	0.0	0.6050195909237801	0.0	0.19341176707443136	0.0	0.0	0.0	0.0	-0.35382635658741335	0.0	0.0	0.0	0.0	0.07878360675709317	0.0
