argD	phoP	ybjG	yrbL	borD	rstB	phoQ	slyB	mgrB	mgtA
-0.4405974249821156	0.06522220508198057	0.0	0.0	0.0	0.6441104402972941	0.20700450230641554	0.0	0.6453800465881916	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.929780609330817	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04876904375851154	0.0	0.15857717570137803
-0.9204786377958953	0.1311714164447299	0.0	0.0	0.0	0.0	0.0	0.0	0.07064645448402489	0.37739889731851045
0.0	0.0	0.8675468434808966	0.7889828198762469	0.0	0.4939922425171916	0.0	0.0	0.0	0.0
-0.1292272477876395	0.062374177342306714	0.0	0.0	0.0	0.0	0.21062173497183512	0.0	0.0	0.0
0.0	0.22872809246185039	0.0	0.36195307678411226	0.0	0.38146606997797233	0.0	-0.980270090745762	0.6657288790650757	0.0
-0.7377700039651245	0.39522257256324206	0.0	0.0	0.0	0.014853885418045942	0.31615094154393564	0.0	0.841209824100891	0.0
-0.9995078381616622	0.0	0.8527499480402287	0.5741693800022684	0.22557329894494352	0.0	0.0	0.0	0.0	-0.011066652245478592
0.0	0.42540198559875403	0.0	0.0	0.7650687743023419	0.0	0.0	0.0	0.0	0.0
