hycF	fhlA	hydN	focB	hyfR	hyfC	hyfD	hyfA	hyfG	hyfB	hyfE	hyfJ	hyfI	hyfF	fnr	hyfH	fdhF	hypB	hypC	hypD
0.0	0.0	0.0	0.6979797910790274	-0.06788578301914616	0.0	0.0	-0.14758000614925504	0.2283546015095419	0.4285635459846107	-0.020837190322840454	0.28185896591127757	0.0	0.0	0.0	0.3596474365472139	0.20100250025141236	0.0	0.0	0.0
0.11853698433978252	0.5472603670265772	0.0	0.4177469347960631	0.0	0.0	0.0	-0.32220541242382705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3727679972212107	0.0	0.0	0.0	0.0
0.0	0.0	-0.10769981413830065	0.4730587031117956	0.0	0.0	0.0	0.0	-0.14830820556390223	0.5015017642317561	0.0	0.1602768010164881	0.0	0.1252647419486525	0.0	0.7725000898494662	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.4210315542115547	0.10918771430264908	-0.2115771523570943	0.0	0.33924275153821687	0.0	0.0	0.44243402873641363	0.0	-0.823367582866922	0.0	0.8671812370871306	0.0	0.4382104645123364	0.0
0.0	0.21960650286080918	0.0	0.0	0.0	0.20838088055078907	0.0	0.0	0.0	-0.2582030353924038	0.0	0.0	0.0	-0.3354643988396642	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.08081046946097159	0.0	-0.11028915525660499	-0.3400688983785637	0.0	0.0	0.39950508423489395	-0.09897602762521823	0.0	0.0	0.0	0.09646295896064067	0.0	0.0	0.0	0.0	0.0	0.0
0.5868729900349468	0.9527470601666965	0.0	0.0	-0.12856499546453937	-0.276576606771601	0.14680594207133846	0.0	0.0	0.0	0.3161112587020901	0.0	0.0	0.4887466970857563	-0.7295821784064174	0.0	0.20833139633621273	0.0	0.0	0.0
0.0	0.0	0.0	0.286275712063847	0.0	0.08553107666720672	0.0	0.455010482819162	0.0	-0.04771393903957327	0.0	0.0	0.0	0.49431173433813774	0.0	0.0	0.0	0.0	0.0	0.3422299220383813
0.0	0.0	0.0	0.0	0.0	0.0	0.655205200904717	0.0	0.24345104940575424	-0.20924645004288872	0.0	-0.38001401287659164	0.0	0.0	0.0	0.8520512739337326	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.6442857815546145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.535374864018643	0.0	0.8408444293859871	0.0	0.0
