lexA	recN	-
lexA	rpoD	-
lexA	rpsU	-
lexA	sulA	-
lexA	umuC	-
lexA	umuD	-
lexA	uvrA	-
lexA	uvrB	-
lexA	uvrC	-
lexA	uvrD	-
lexA	ftsL	-
lexA	uvrY	-
lexA	dinD	-
lexA	dinG	-
lexA	dinF	-
lexA	ybfE	-
lexA	yebG	-
lexA	recX	-
lexA	hokE	-
lexA	tisB	-
lexA	dinQ	-
lexA	yafQ	-
lexA	dinJ	-
lexA	dinB	-
lexA	yafN	-
lexA	yafO	-
lexA	yafP	-
lexA	ftsK	-
lexA	dinI	-
lexA	ydjM	-
lexA	cho	-
lexA	insK	-
lexA	symE	-
lexA	ruvA	-
lexA	ruvB	-
lexA	ddlB	-
lexA	dnaG	-
lexA	lpxC	-
lexA	ftsI	-
lexA	ftsW	-
lexA	lexA	-
lexA	mraY	-
lexA	murC	-
lexA	murD	-
lexA	murE	-
lexA	murF	-
lexA	murG	-
lexA	phr	-
lexA	polB	-
lexA	recA	-
