paaF	paaX	paaD	paaJ	paaH	maoC	paaK	ihfB	paaE	paaC
0.2514675256314725	-0.3678686625789851	-0.05824341371487729	0.0	0.0	0.0	0.0	-0.0859870829153806	0.0	0.0
0.0	-0.5062785516493022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3199085754297868	0.0
0.0	-0.8068388055544347	0.0	0.0	0.23023981446958608	0.0	-0.9550404665060341	0.0	-0.49141409648137246	0.0
0.0	-0.12620213814079762	0.0	0.0	0.0	0.06081893112284176	-0.8358247200958431	-0.6794504292774945	0.0	-0.2529512064222902
0.0	-0.2935227816924453	0.0	0.0	0.0	0.3967227088637375	0.0	-0.8911609607748687	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4861617323476821	0.0	-0.22956795130564867
0.29883002783013884	0.0	-0.027816636048442644	0.0	-0.24442678005807572	0.0	0.0	0.0	0.0	0.0
0.0	-0.2332429017405957	0.0	-0.2951122256675446	0.0897815929222805	-0.023181307560232955	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.28794415018244746	0.0	0.40507058849331967	0.0	-0.28551917779259384	0.0	0.0
