idnK	idnR	gntR	idnT	idnD
0.0	0.0	0.0	0.0	0.19019504328042727
0.0	0.0	-0.22147879283875227	0.0	-0.035022088617379855
0.0	0.19620477733844244	0.0	0.0	0.9034984972678916
0.0	0.0	-0.7463448471389711	-0.3320151052903384	0.11951473861717146
0.0	0.0	-0.9721869111526757	0.0	0.2115010907293157
0.08869476304765112	0.0	-0.741434718016535	-0.7649509946350008	0.10125290107697707
0.0	0.0	-0.7329277461394668	0.0	0.0
0.0	0.2693627360247942	0.0	-0.6393848061561584	0.0
0.0	0.6263389354542764	0.0	-0.08971339277923107	0.0
0.0	0.22382447938145422	-0.9648055811412632	0.0	0.3560588573456601
