bglF	stpA	bglJ	bglB	leuO	bglG	hns	yjjQ	yciE	smtA	cspD	yjjP	leuL	proV	proX	yciG	proW	leuB	gspO	leuA	mukF	mukE	leuD	chiA	leuC	gspB	hchA	yciF	mukB	fliC	nhaA	nhaR	osmC	rcsA	rcsB	wzb	wza	bdm	wcaA	rprA	wzc	wcaB	osmB	yjbF	yjbE	ftsZ	yjbG	yjbH	ftsA	sdiA	sra	csgE	csgD	csgG	ompR	csgF	rstA	asr	bolA	ompF	cpxR	degP	csgA	csgB	csgC	ompC	envY	micF	rseB	iraP	yccA	cpxP	rseA	ung	motA	bacA	tsr	dsbA	pgaB	rseC	pgaD	rdoA	dsbC	cheW	ftnB	psd	omrB	rpoE	mzrA	ppiD	ydeH	yqjA	ycfS	yidQ	pepD	cheA	dacC	pgaC	omrA	pgaA
0.0	0.0	0.0	0.0	0.0	0.0350910959886388	-0.8828034952748567	0.0	-0.46630886546336114	0.0	0.5354365244687951	-0.4785340977832675	0.0	-0.08397150319069624	0.0	-0.8422768071759492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.22823236137628555	0.0	0.0	0.0	0.20643628956989668	-0.33741370541974747	0.0	-0.520793787959806	0.0	0.0	0.5597310717809679	0.0	0.33731636432977813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27460375199149556	0.0	0.0	0.03155986657190901	0.0	0.0	0.0	-0.2951963099242795	0.0	0.0	0.0	-0.4511383578646928	-0.7939114272594452	-0.697009839117527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10278335539624095	-0.08488519296737823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03711667119200879	0.0	0.0	0.0	0.0	-0.6880487469024956	0.0	0.0	0.28705031137522946	0.0	0.0	0.36281811116994417	0.0	0.09967957839882126	0.0	0.0	-0.467651457991451	-0.3100644387304783	0.18583128386301326	0.0	0.0	0.0
0.0	-0.298094927566126	0.4731800020394987	0.0	0.0	0.0	0.0	0.0	0.0	0.22825356177058573	0.8082451046624637	-0.13588197971694171	0.0	-0.8605247107334435	-0.46754532237537205	0.0	0.0	0.0	0.0	0.0	0.0	-0.011911668280373128	0.15566545067277884	0.0	0.0	0.0	-0.48264567786827683	-0.8018308668397367	0.36168655560394897	0.0	0.33802869496867216	0.0	0.0	0.44139776987279167	0.0	0.0	0.0	0.0	0.33070952290980377	0.12905634322762452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.19425510033033788	0.45899793424393115	0.33830622745695826	0.0	-0.37490480071096677	-0.05262160999700427	-0.16733620485144596	-0.3976553985849023	-0.5477299999911338	0.0	0.0	0.0	-0.18924863485164445	0.0	0.0	0.0	0.039832700299981795	-0.6929729701951146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23955460521392524	0.0	0.0	0.0	0.0	0.0	0.0	0.48312887683649136	0.0	0.0	0.19521372246140234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5499536606948823	0.0	0.0	0.0	0.9550723390875222	0.0
0.0	-0.2352071099448949	0.0	0.0	-0.22274394598582825	0.0	0.0	0.11080763408271022	0.0	0.0	0.8168371901096261	0.0	0.0	0.0	-0.4361397533211857	0.0	0.0	0.0	0.0	0.354536640175526	0.0	0.0	0.0	-0.08161628129892051	0.0	-0.9921712374780327	0.0	0.0	0.0	0.0	0.0	0.0	-0.20342420559547036	-0.09990174436686228	-0.29010651144199073	0.0	0.8030101873028721	0.0	0.0	0.0	0.12549797932502427	0.9261028810838164	0.0	0.6417861471105818	0.0	0.0	0.10360008310344475	0.0	0.0	0.0	0.0	0.0	0.22033502905986724	0.0	-0.47274814429692924	0.0	0.0	-0.5668993946164846	0.0	0.0	0.0	0.0	0.0	0.0	0.4221808033498309	0.0	0.0	0.2962151903869727	0.0	0.9698243908682063	0.0	0.0	0.0	0.0	-0.5024330876767635	0.0	-0.5553451802115887	0.6476172069625734	0.0	0.0	0.0	0.18818379327793192	0.8305652722414876	0.0	0.13733831436888866	-0.3617365872487426	0.0	0.0	0.0	0.5189120461864869	0.0	0.0	0.0	0.24841615659677369	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.3448604550503652	0.1540411672575579	0.0	0.0	0.0	-0.9383842016104609	0.6409455803223377	0.0	0.0	0.05854243697754251	0.0	-0.3157143108546734	0.0	-0.9641172736883163	0.0	0.0	0.0	0.4389544190194711	0.0	0.0	0.0	0.9451381384129133	0.0	-0.8032216082792729	0.0	0.0	0.0	0.0	0.0	0.02686616423369259	0.0	-0.6805641744285822	0.0	0.0	0.9891989599452395	0.0	0.0	0.5153588827036003	0.0	0.0	0.7089571237717275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04758233251624289	0.0	0.0	0.0	0.0	-0.5969318815041333	-0.04996995092369616	0.2427230320205755	0.0	0.0	-0.1812943045515567	0.0	0.0	0.0	0.0	0.07926204458122638	0.0	0.0	0.0	0.5127759123395708	0.0	0.0	0.0	0.4394296385836393	0.0	0.0	0.0	-0.35551138035953045	0.0	0.8997762028048611	0.0	-0.3281132203992456	0.0	-0.7864214794244617	0.5155675703806866	-0.879346241010353	0.0	0.0	0.9689317227856725	0.0	0.0	0.02504547461428623	0.0	0.0	0.0	0.0	0.7962635279854597	0.10522610539134575
-0.09547564390108254	-0.7349125971086323	0.5932075343748695	0.0	0.0	-0.23822794653195878	0.0	0.0	-0.7589178420603275	0.0	0.0	0.0	0.14804580021805272	0.0	-0.8652217120397836	0.0	-0.5110998968593776	0.0	0.0	0.3414512553223418	0.7050521483466282	0.0	0.4927819764140729	0.0	0.0	-0.17881933436729014	0.0	0.0	0.0	0.0	0.0	-0.17503548142566022	0.0	0.0	-0.9893731595948339	0.0	0.0	0.0	0.10516320946006336	0.0632402502242472	0.0	0.460380209839523	-0.0987771538930799	0.06264461247850996	0.0	0.0	0.23261301913116533	0.0	0.0	-0.33002552250400186	0.7758859364570218	0.0	0.0	0.0	0.0	0.26640274555568655	-0.9147564142476767	-0.9989223496522754	0.0	0.0	0.19460057097580136	0.26382573146828014	-0.6802670753095299	0.0	-0.10014374545157634	0.7932345851091182	0.0	0.0	-0.7615279683377594	0.0	0.4474179883995843	0.0	0.0	-0.3853696270380169	0.0	0.0	-0.9219271859619766	0.0	0.0	0.0	0.0	0.0	0.0	-0.6056710933335125	0.0	0.0	0.0	0.0	0.0	0.0	0.8222674963579982	0.9389466534606193	0.39693150667496124	0.33120975000345093	0.0	-0.7460024422034621	-0.03861507825429215	0.24653506291844965	0.9641319400852384	0.7036139397745206
-0.3077893671858337	-0.6607285290956497	0.2535578242691374	0.0	0.0	0.11700792649108926	0.0	-0.3408001632121449	0.0	0.0	0.0	-0.8949322642292827	0.0	0.0	-0.610835102153942	0.0	0.0	0.0	0.0	0.05266915443064735	0.0	0.0	0.0	0.0	0.0	-0.576427933992818	0.0	0.0	0.0	0.26128572165274344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39571936358380333	0.0	0.0	0.7429814342361737	0.4676302911626101	0.0	0.0	0.6196726005972533	-0.9115561044309288	0.38219494081783173	-0.06719340687599662	-0.0530482565575886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8474062143591677	0.0	0.0	0.0	0.0	0.0	0.8979670108936306	0.0	0.0	-0.36797936423681676	0.0	0.0	0.0	0.0	-0.9331748876720667	0.0	0.0	0.0	0.0	0.20599153980197005	0.0	0.0	-0.9838611907325685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8875730475410819	0.7498353442096465	0.0	0.0	0.1918529014432056
0.0	0.0	0.0	0.0	0.5318564352600084	-0.28301948736142357	0.0	0.0	0.0	0.0	0.0	-0.9339911304414272	0.0	-0.33960186154581606	0.0	0.0	0.0	0.6284184266159252	0.0	0.4628451587137775	0.0	0.0	0.21403560642075872	-0.28919517039321363	0.0	0.0	-0.6723241400904953	0.0	0.0	0.1620924394601705	0.0	0.0	-0.4395552748458752	0.0	0.0	0.16826056825329683	0.0	0.0	0.0	0.0	0.0	0.7325312190191747	-0.08907691821519687	0.0	0.10099527067028463	0.0	0.0	0.0	0.2896302206889896	-0.1501027795020491	0.759430783919348	-0.43278129260037723	-0.41490484076194944	0.0	-0.7789419258479029	0.0	0.0	0.0	0.0	-0.33812565810179046	0.5548244333183378	0.0	0.0	0.4149524283253657	0.0	0.0	-0.892071150476113	0.0	-0.7656111582182348	0.0	0.939062558305059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9750844272784889	0.0	0.0	0.0	0.0	0.0	0.20366080102310577	0.0	0.0	0.0	0.0	-0.1940269886981696	0.0	0.0	0.4103485095668686	0.0	0.0
0.0	-0.2632824790198356	0.0	0.0	0.0	0.0	-0.9375144934747368	0.0	0.0	0.06204846897166724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6719863237813115	0.0	0.6845787244670346	0.0	0.23705537890938258	-0.6924907839857042	0.0	0.0	0.0	0.0	0.0	0.0	0.29810901940800405	0.0	0.0	0.2327548871121775	0.0	0.6496617956679048	0.8040418491746928	0.0	0.018039543268589746	0.0	0.7908671863644997	0.0	0.0	-0.06580972604784328	0.8111100698773611	-0.004712728280022657	0.0	0.0	-0.04015201404865998	0.0	0.0	-0.26150600636359933	0.0	0.0	0.0	0.0	0.0	0.0	-0.6387534097302705	0.0	0.0	0.0	0.0	0.0	0.0	0.3315979067934191	-0.6342188448179513	0.0	0.0	0.0	0.0	0.0	-0.1816876984667033	-0.54809954110533	0.0	0.0	0.0	0.0	0.0	-0.03638133476488292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.584067853603373	0.0	0.0	-0.11437885604776342	0.3058199909006147	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.9193559945560992	0.0	-0.40143487023306	0.0	-0.11637190504651507	0.0	0.0	0.0	0.0	0.0	0.0	0.8349537577588777	0.0	-0.8342768403235823	0.0	0.0	0.0	0.0	0.45404964168267414	0.0	0.0	0.0	-0.04598049237392843	0.0	0.0	0.0	-0.1616645809262991	0.1870577039015122	0.0	0.0	0.0	-0.577955484913505	0.0	0.0	0.0	0.35675454624478475	0.9102505161897321	0.0	0.6722084147632118	0.04809881348979274	0.702618714884475	0.0	0.5223462176196728	0.0	0.0	0.0	0.0	0.07073121350083333	0.0	0.0	0.0	0.40530000230654595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3063729824786991	0.0	0.0	0.0	0.0	0.5989260503788923	-0.9604119025170803	0.0	-0.3351551361847669	0.0	0.0	0.0	0.0	0.0	0.0	0.6780466771707475	0.0	0.0	0.0	0.0	0.0	0.0	0.413219674599945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012148366453787876	-0.33450711495243013	0.0	0.6401476486970984	0.5712135898769003	0.0	0.5696744521477445
0.0	0.0	0.3974297225663579	0.0	0.6430022692328499	0.0	0.0	0.0	0.0	0.6226874871645546	0.6323610338562584	-0.4078047778457403	0.0	0.0	0.0	-0.5641473873984069	0.0	0.0	0.0	0.27853946359539494	0.0	0.2649448600818861	0.7235167840860519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5658158688179623	0.0	0.0	0.0	0.0	0.0	0.0	0.5330438234179894	0.057061469644859586	0.7777744597842131	0.0	0.0	0.0	0.5819370706547464	0.17421892773293488	0.0	0.0	0.0	0.0	-0.11318278662503245	-0.2492102589847054	0.0	0.0	-0.2244914690963924	-0.5334104523062706	0.0	0.1940281469175435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2823093388484648	0.0	0.0	0.0	0.0	-0.6095779698807746	0.0	0.0	0.6039455853425503	0.0	0.0	0.8817310435478722	-0.002777222078293562	0.46231695689833174	0.0	0.4256825131528372	0.0	0.012888276414513525	0.0	0.8637021599950332	-0.17503077071160078	0.0	0.0	0.0	0.8691659128065233	0.5200292474871884	0.0403348338746367	0.0	0.0	0.0	0.0	0.0	0.0
