trg	fis	flxA	valX	lysV	valU	queA	pheV	leuP	proM	argX	lysW	glnX	alaW	argU	metU	cspI	proL	glyU	thrW
0.6532170604022265	-0.5285317960660905	0.7005714098672398	0.8013862500588343	0.24092862639595952	0.03026158308585547	0.0	0.0	0.0	0.8745635577251938	0.0	0.0	0.0	0.0	0.5082113092964434	0.09711956716376992	0.0	0.9157460702477778	0.0	0.0
0.0	0.0	0.820560524913577	0.9357018420628206	0.0	0.4105756312326845	0.9220960662786701	-0.014383319030456383	0.0	0.273825984844732	0.5375502519148843	0.24793428670147383	0.0	0.9049488316209738	0.0	0.0	-0.7323108634445816	0.5275837357981885	0.0	0.0
0.0	-0.009150805650278926	0.0	0.6114099036126331	0.8312848331501821	0.3998133395050969	0.7091225891926178	0.7246495869840158	0.0	0.2832151019720164	0.8397069901532934	0.7021731205610366	0.9322295867773378	0.0	0.0	0.0	-0.2210229178890586	0.5733236978190774	0.43256188610750385	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.7938267433636674	0.0	0.1935657831345155	0.44680786009484796	0.0	0.11638961637856386	0.0	0.4895923653071498	0.0	0.0	-0.8097161317709833	0.0	0.4370650884992922	0.7685112815604115
0.0	0.0	0.0	0.0	0.0	0.0	0.8609831166540125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8315244214342826	0.0	-0.17921492084860802	0.5888339518929655	0.0	0.3142963172656053
0.0	0.0	0.0	0.0	0.8370932669008264	0.2148093529229369	0.0	0.0	0.0	0.6557208049816814	0.6639981320898489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6987632024865145	0.0
0.0	0.0	0.6624933746392854	0.0	0.0	0.6128402509910371	0.0	0.0	0.0	0.0	0.0	0.0	0.15546575923735734	0.0	0.0	0.0	0.0	0.0	0.0	0.11521592664276599
0.0	0.0	0.0	0.2633433457153784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4481935889785918	0.0	0.0	0.0	0.0	-0.596490757772699	0.0	0.6809389594308579	-0.003172803225690732
0.8790879218412608	0.0	0.0	0.0	0.17482510675695923	0.3089256583896782	0.911394768263478	0.0	0.5345360576611413	0.5358624385444251	0.0	0.03976410719098471	0.8078088575443858	0.0	0.0	0.5733058573142782	0.0	0.864477565315255	0.10139772559697874	0.7986608673606569
0.0	-0.7958338193129748	0.0	0.08755424559739691	0.0	0.0	0.0	0.3236672613202258	0.0	0.0	0.0	0.0	0.0	0.9060204942630355	0.0	0.0	0.0	0.0	0.0	0.0
