napD	iscR	iscU	erpA	ydiU
-0.5879509954247624	0.0	0.0	-0.7348963289987296	0.6110063709963955
0.0	0.0	0.0	-0.6742792923469096	0.0
-0.46456612134352326	-0.7428393801674247	-0.0379195804707706	0.0	0.0
-0.5139953359030187	-0.8298048763535917	0.0	-0.6813701172359288	0.0
0.0	-0.6662535993382335	0.0	0.0	0.0
0.0	0.0	-0.09784610895439982	-0.8417250143829733	0.0
-0.28280442161485553	0.0	0.0	0.0	0.0
-0.8411201615817845	-0.8189962934702635	0.0	0.0	0.0
0.0	0.0	0.0	-0.17799302376806736	0.0
0.0	0.0	0.0	0.0	0.0
