hipB	hipA	ihfB	ecpD	htrE	ibpB	hemF	uspB	amiA	pspG	uspA	rtcB	ihfA	dppD	folA	pspB	atoA	glmY	ilvE	osmE
-0.7335940818302333	0.0	-0.12686405749991536	0.816729892188254	0.0	0.0	0.0	0.0	0.0	0.0	0.031339404460226275	0.4416115565604161	0.0	0.0	0.36890126104646076	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.5333384366240352	0.018642568870949734	0.1682151378405113	0.1933149863745288	-0.9868207077961415	-0.1858320040628314	-0.445652112364769	0.0	0.2553728353774148	0.0	0.0	0.696461915190814	0.413164680275998	0.0	0.7781791697476785	0.0	0.0	0.0
-0.6001222212798893	-0.19916320184963832	-0.07196667441166937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8357640628237277
0.0	0.0	0.0	0.0	0.16625742561117002	0.0	0.0	0.0	0.0	0.0	0.4441322868766236	0.0	0.0	0.0	0.9584612254164432	0.0	0.0	0.08041892419960685	0.0	-0.5109195376280695
-0.8306148524861783	0.0	0.0	0.06185389184722601	0.0	0.0	-0.22008544113487005	-0.3227733641397208	0.0	0.0	0.6862807707471746	0.7258191294881146	-0.7982866570819169	0.0	0.5489701802487735	0.0	0.4741421117202173	0.0	0.0	-0.06812650617212057
0.0	0.0	0.0	0.0	0.0	0.3746028266160951	0.0	0.0	0.0	0.0	0.8627228485962349	0.0	0.0	0.20827367311671185	0.34577277154841174	0.14244483154584558	0.0	0.6256101809946853	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.3273618833627552	-0.9417911642231047	-0.6081379125826061	0.0	0.0	0.4977979897434454	-0.009752761339768767	0.0	0.0	0.0	0.0	0.45221721227672285	0.0	0.0
0.0	-0.2953994370789368	-0.29469251935370266	0.0	0.5485706514951606	0.0	0.0	0.0	0.0	0.09314109081524873	0.0	0.0	0.0	0.8929100385061632	0.0	0.0	0.0	0.06400783649105914	0.0	0.0
-0.031073270831257105	0.41651084844236186	-0.8964035038370639	0.0	0.0	0.0	-0.3386322585865855	0.0	-0.32022133539430797	0.0	0.0	0.0	0.0	0.3148616623724978	0.0	0.6229529411004939	0.0	0.8981557624453712	0.4352519194644151	0.0
0.0	0.0	-0.5403371236752719	0.0	0.0	0.1970292228053526	0.0	0.0	0.0	0.0	0.0	0.489741481366251	-0.11839448008686304	0.7806780151217412	0.01689140793115545	0.44770916294624	0.0	0.0	0.0	0.0
