valX	fis	serX	proK	pheV	tyrU	valT	gyrB	argW	thrU	tpr	argU	tufB	argX	thrW	tyrV	apaG	pheU	hisR	lysW
0.10124220895850879	0.0	0.23904260122917018	0.3888210223548866	0.0	0.9407879632594454	0.0021261676194378465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15214705951080976	0.0	0.42117801296466834	0.0
0.0	0.0	0.9259580149385276	0.7504059204392887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.8132766610081437	0.0	0.0	0.7028286051167565	0.2661970612572738	-0.76106306607835	0.0	0.0	-0.012646857805117664	0.0	0.4098044767653046	0.0	0.0	0.6628401517797895	0.0	0.0	0.0	0.23280744866318606
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9799961018030516	0.0	0.07307174723363838	0.7567212928579009	0.5578712498368068	0.0	0.25319971572405187	-0.30489449785090983	0.8657628947612341	0.0	0.0	0.9068928447400972	0.0	0.0	0.33058963280132025	0.0984811981604137	0.0	0.5350924912605984	0.0	0.0
0.0	0.0	0.0	0.0	0.7405094570544852	0.0	0.0	0.0	0.0	0.0	0.22422629486067625	0.0	0.0	0.0	0.0	0.2954620328661688	0.6855957090811556	0.729317023255731	0.12825731199176854	0.07841044181808435
0.4778456027739666	-0.8159259129315615	0.7484420986450406	0.0	0.8890009414003535	0.0	0.0	0.0	0.032171876423477734	0.0	0.0	0.0	0.0	0.0	0.38311645069120437	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.24926496204257076	0.0	0.32067900981515823	0.0	0.0	0.7691745718684491	0.7726539853447598	0.0	0.0	0.0	0.0	0.3633068167321196	0.0	0.0	0.0	0.5434491274593198	0.0
0.961091897089871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03384666594906181	0.20873389885181642	0.0	0.428591961315064	0.7395899664327314	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.17597548044932318	0.0	0.6136171010768273	0.0	0.0	0.7935704321553481	0.12340468012957305	0.0	0.3205427938283829	0.8411074367297574	0.0	0.0	0.0	0.07395789383431811	0.0	0.5758052706424107
