nikR	nikC	nikD	narL	nikE	nikA	nikB	hybE	hybO	ynfH	hybF	ogt	torD	ynfF	hybC	ynfE	torA	torR	torC	tnaA	hybA	dmsD	ynfG	tnaB	tnaC	hybD	hybB	arcA	hybG	moeA	cydC	moeB	cydD	ubiC	ubiA	nuoL	nuoH	nuoA	focA	fnr	nuoF	nuoI	nuoB	nuoC	nuoM	nuoJ	nuoG	nuoK	nuoE	nuoN
0.0	0.0	-0.4522359827110694	0.0	0.4975465563415082	-0.19116320972229223	-0.20239693252369761	-0.4231032747775316	0.0	0.23315398341731547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1152429988142103	0.0	0.0	0.0	0.0	0.17436424701435166	0.0	0.0	-0.20463869837112725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6205666887108237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3572401250414394	0.4766082019569221	0.0	0.0	0.0	0.0	0.0	-0.7165211958345026
0.0	-0.40697051770985126	-0.15897593130787474	0.0	0.0	0.0	-0.8047291387338191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6118934715632349	0.0	0.0	-0.527529600309208	0.13391109857750633	0.0	0.0	0.0	0.0	-0.4405957483686507	-0.10038226284086704	0.0	0.0	0.0	0.0	0.0	0.0	-0.6212032670155168	0.0	-0.07279396476224065	0.0	0.0	0.0	-0.7667665479239076	-0.27153050814909624	0.0	-0.10035751168375284	0.0	0.0	0.0	-0.6138163446448743	0.019443590307391012	0.0
0.0	0.0	0.0	0.0	0.0	0.23336835695532282	0.0	-0.5294815076049417	0.0	0.8931887782433761	-0.22501516854390502	0.25841484376854745	0.0	0.0	0.0	0.0	0.40221857204992184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2891110524069518	-0.6726162331178784	0.0	-0.1278909568209201	-0.061588690980455496	0.0	0.0	0.8456839923340146	-0.18707720935344696	-0.6064423962961882	-0.7388241258449852	0.0	0.0	0.0	0.0	0.0	-0.23002830342544006	0.0	-0.3194907262431589	-0.11277159652672708	0.0	0.0	-0.22682397440075874	0.0	0.0
0.0	-0.6872822693549097	0.0	-0.008361347252503037	0.0	0.0	0.0	0.0	0.0	0.16122318983764766	-0.7310929491650313	0.0	-0.11085111224326827	-0.4496125366671504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17874112165575423	0.0	0.25896266353367947	0.0	0.0	0.0	-0.7725345436483622	0.0	-0.2163933530832889	0.0	0.0	0.0	0.0	-0.6617271490395069	0.0	0.0	-0.9534422892611474	0.0	0.0	0.0	0.0	-0.05938793488965999	-0.1302364455977586	0.0	0.0	0.0	-0.38444501464255154	0.0	0.0
0.0	-0.39463759027421474	0.0	0.0	0.0	0.0	0.0	0.0	-0.08513839333318174	0.21626836497092067	0.0	0.949475238050069	0.0	-0.10564737460972085	0.0	0.16976578934822883	0.0	-0.39023349643684924	0.4352530950121933	0.0	-0.6765875213313848	0.14426557905083098	0.0	0.0	0.0	0.0	0.0	-0.9437800974119455	-0.840264004888013	0.0	0.0	0.0	0.6184345441463653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.014284861739724874	0.0	0.0	0.0	-0.8532711153384298	-0.043251866565922725	-0.7010724963620305	0.0	-0.2180088107737091	0.0
0.09094357513748258	0.0	-0.3810572572561131	0.0	0.5063516659951302	0.0	0.0	0.0	0.0	0.0923632084646952	-0.694830778054893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8771373545662084	0.0	0.0	0.3112443326333726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8217385644093156	-0.864992699585855	0.0	0.0	-0.9449533380102366	0.2074987411475745	0.0	0.0	0.0	-0.08008548131400417	0.0	-0.9228860184084624	0.0	-0.5795046330895275	0.0	0.0	0.0
0.4130822604049012	0.0	0.5074504907665625	0.0	0.0	0.0	0.0	-0.056697610300034285	-0.19370953924953938	0.5372251597488058	-0.85323680145666	0.948572428148906	0.0	0.0	0.0	0.0	0.32457258733879635	0.0	-0.09872304565269713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.01766842743381858	-0.06226672325283289	-0.7216021718923002	0.0	0.35023048496383863	-0.18699004368241456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.36806512748976933	0.0	-0.12995338407104284	0.0	-0.3978562800659784	0.0	-0.3923403408844024	0.0	0.0
0.0	-0.377819248707965	0.5321388035503998	-0.14965227129869163	-0.07697841764329955	0.36695155642097016	0.0	-0.48956711287610233	-0.8951848661527038	0.578507168383686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008560036690457164	-0.2516883462667465	0.23392899636221626	0.0	0.0	0.009738528571482934	0.0	0.0	-0.9281356788706034	-0.22687944606877863	-0.29466663011454663	0.1701051243538751	0.0	0.0	0.0	0.0	-0.21590233780443668	0.0	0.0	0.0	-0.08257286623120308	0.0	0.0	0.19402221983110834	0.0	0.0	0.0	0.0	0.0	-0.3265029125644204	0.0
0.0	0.0	0.0	0.0	0.0	0.0	-0.4025233348365873	0.0	0.0	0.0	0.0	0.0	0.0	0.5100972054393469	0.0	0.23058380773995724	0.0	0.0	0.16550339282493826	0.0	0.0	0.0	0.0	0.0	0.2946624596895838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8494051387533545	-0.5878940264228731	0.0	0.32800022610230417	-0.46241482300683856	0.0	0.0	0.0	-0.056049644153019496	0.0	0.0	0.0	0.0	-0.1613498228865054	-0.2406620355322957
0.42037858162000924	-0.9328214847482741	-0.30212842831818026	0.0	0.0	-0.17306486818837802	0.0	0.0	-0.6603128083515912	0.3567432625474167	0.0	0.0	-0.11185301300372519	0.0	-0.9168007555417717	0.0	0.0	0.0	-0.2924372831917948	0.0	0.0	0.29984463424464264	0.0	0.21720615303195204	0.3958006202535892	-0.2951626591384411	0.0	-0.993915991159156	-0.03397042560391128	0.0	0.6829261048654809	-0.3111753708900842	0.6738657992857758	0.0	-0.5543004092760384	-0.749547622166574	0.0	0.0	0.0	0.0	0.0	0.0	-0.031424283778310524	0.0	-0.007468312978744507	0.0	0.0	0.0	0.0	-0.001171882962808013
