guaB	dnaA	yjeV	polA	recF	argP	dnaN	nrdB	nrdA	nrdR	dapB	nrdD	nrdI	nrdF	nrdH	fur	nrdE	purR	guaA	nohA
0.0	0.0	0.0	0.0	-0.31115824009416126	-0.9594559955876321	0.0	0.0	0.6548926018647719	0.0	0.0	-0.41556284995749593	0.0	0.0	-0.7352617501746863	0.0	0.0	-0.7107482883147895	0.0	0.0
0.0	0.0	0.0	0.0	-0.29265434040812277	-0.5519944836851209	0.0	0.0	0.0	0.0	0.0	-0.4792219833470881	-0.877643855754286	0.0	0.0	0.0	-0.916104297619313	0.0	0.0	-0.7300487658940256
0.0	0.0	0.0	0.24004046348555091	0.0	-0.12344323890283704	0.6217174676478454	0.0	0.2372358679775019	0.0	0.6919387996128018	-0.5775196051690727	0.0	0.0	-0.49484347528778017	-0.7270376610103995	0.0	0.0	-0.3458676540758461	0.0
0.0	0.0	-0.8178753519896418	0.0	0.0	0.0	0.0	0.0	0.04390602358652844	-0.20935890264809132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8686086328234524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.19251744891516864	0.8582041117798359	0.0	0.0	0.0	0.0	0.8263930018063504	-0.3156664753332734	0.9467305120011981	-0.7302216824609786	0.0	0.0	-0.028658690163865685	0.0	-0.4638424206059426	0.0	-0.2715977830812335	0.0
-0.9251651065424085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1375920901006277	0.0	0.0	-0.09288561553694308	0.0	0.0	0.0	-0.23606406361795962	-0.5444853079970926	-0.48921041819266975
0.0	0.0	0.0	0.0	0.3220814603647826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9202565511222929	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-0.3801529877819121	0.8253278753020414	0.0	0.9064726376443971	-2.2721500135958195E-4	0.6867013688130493	0.0	-0.001525695202872157	0.0	0.0	-0.6503405468538404	0.0	0.0	0.0	0.0
-0.013430824968963861	0.0	0.0	0.7995083915039719	0.0	-0.11991144227795303	0.9413394147761711	0.4092210883033958	0.0	0.0	0.5538983273251171	0.0	0.0	0.0	-0.32685990864410996	0.0	0.0	0.0	-0.322865875903517	0.0
