yhdW	glnG	ddpA	yhdY	ddpD	ddpF	yeaH	yeaG	potG	yhdZ	ddpB	potH	argT	potI	ddpC	ddpX	potF	yhdX	astB	glnK	astA	argR	astE	astC	astD	hisJ	hisQ	hisM	hisP	artM	argH	argI	argF	artI	argA	artP	argB	argC	artJ	artQ	argE	argG	argD	amtB	gadX	lon	ybaT	asnB	ybaS	gadY
0.0	-0.9326228951103985	0.0	0.25781363774188637	0.0	0.0	0.0	0.0	0.0	0.9004711013031603	0.0	0.0	0.0	0.0	0.441687816600942	0.0	0.0	0.0	0.0	0.0	-0.04437809906243459	-0.25858363742008805	0.0	0.0	0.0	0.0	0.0	-0.6369675307068974	0.0	-0.4317659614607692	0.0	0.0	0.0	-0.8533121729269624	0.0	0.0	0.0	0.0	0.0	-0.2048185863532126	0.0	0.0	-0.6912206585984677	0.0	0.0	0.0	0.9839610928170487	0.26794954990775544	0.0	0.0
0.0	-0.2284517646767199	0.11494715699138666	0.0	0.2506364606400329	0.0	0.0	0.0	0.0	0.0	0.0	0.7371817541782022	0.0	0.7298830694053139	0.88225966793082	0.5400109685558541	0.0	0.7998396623066453	0.0	0.0	0.0	-0.6515492934267968	0.21386870130192817	0.0	0.0	0.45458888320557445	0.19364032937157777	0.0	-0.12448867249894952	-0.23232276202179492	-0.6002178154885769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.21456279908306897	0.0	-0.5401199024636298	0.0	0.0	0.0	0.0	0.16928648359163942	0.0	0.058963913431328105	0.0	0.0
0.0	-0.7705270678270608	0.0	0.0	0.0	0.0	0.0	0.10060913148237247	0.4058750183730446	0.11246801006844653	0.0	0.12690546140151324	0.0	0.10332381189798967	0.0	0.0	0.0734148804841927	0.0	0.0	0.11556353308324921	0.0	0.0	0.0	0.0	0.8629479290264824	0.0	0.0	-0.9372924831695855	0.0	-0.859546702587977	0.0	-0.11160688335075974	0.0	0.0	-0.599517539376393	-0.03908293740823865	0.0	-0.7033540953416377	-0.15811155084520578	0.0	0.0	0.0	-0.9300387359689921	0.6739132914724691	0.0	0.8973938600814277	0.6994041335269913	0.13045339375541765	0.0	0.0
0.0	0.0	0.6312756934310737	0.7295108979018855	0.0	0.5345335233758369	0.0	0.4933303874907442	0.0	-0.012349715901031958	0.21810328218440253	0.0	0.0	0.0	0.0	0.6165119948398037	0.0	0.0	0.0	0.0	0.912892556718596	-0.9637927147559822	0.0	0.0	0.0	-0.15509351820379824	0.0	-0.07532071997411549	0.0	0.0	-0.0242463864851743	-0.5893925204873085	0.0	0.0	-0.41293649515137076	0.0	0.0	0.0	-0.23116759699769318	-0.9196192000526935	0.0	-0.6026098786387593	-0.10056487028487027	0.0	0.7349829231813974	0.0	0.4492494319997831	0.0	0.0	0.3110913258829716
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6855240381312915	0.14371797632789837	0.026279986624181403	0.0	0.0	0.0	0.8630938201676871	0.0	0.0	0.0	0.8291462049006311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2411403285805136	0.04009715791199292	-0.7730905136559159	0.0	-0.26641200319863856	-0.48692956822924316	0.0	0.0	-0.5321709518320858	-0.2222457390744239	0.0	0.0	-0.658554972615093	0.0	0.0	-0.2923658008221537	0.0	0.0	0.0	0.7475350264426425	0.24525787304894286	0.0750909786516347	0.0
0.0	0.0	0.0	0.5552160981027859	0.0	0.0	0.40850550587445317	0.2612144135394492	0.6912483342866473	0.46110621725446	0.6688469096860542	0.0	0.0	0.07971127587368743	0.9198116772674704	0.0	0.0	0.9133889343707648	0.0	0.9329839803284894	-0.008287673381111776	0.0	0.09200978785049499	0.0	0.0	0.0	0.2326747541869047	0.0	0.0	0.0	0.0	0.0	0.0	-0.20307450206018984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.48594679590314627	0.0	0.4705140351350351	0.6263779064599848	0.0	0.4423303713988616	0.0	0.0	0.0
0.8493165337175957	0.0	0.0	0.8048466245094764	0.0	0.0	0.0	0.25018423851480565	0.0	0.13299030929109468	0.0	0.0	0.0	0.0	0.6399761157442564	0.2595088566720201	0.0	0.0	0.6628373529426952	0.24930195841071415	0.2980645978516422	0.0	0.6817417283844608	0.0	0.20577766800291628	0.0	0.0	0.0	0.0	-0.05012858868576586	0.0	-0.36375575908459723	-0.6465792588423938	-0.14160757162608206	-0.2611991523299366	0.0	-0.6780541553162038	0.0	-0.5891288712155074	-0.18917401880025864	0.0	-0.9456084696575999	-0.9699473767541349	0.0	0.0	0.018296607230075618	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19216517758919524	0.509011051405728	0.0	0.0	0.7541019681998857	0.0	0.13410820633701323	0.0	0.0	0.73637507125985	0.0	0.0	0.0	-0.5624442123807967	0.0	0.0	0.795290685333235	0.0	0.0	-0.16834312467835844	0.0	-0.912048444384709	-0.16924464446492493	0.0	-0.885591974016279	0.0	0.0	0.0	-0.5161995992530137	0.0	-0.5136205023154616	0.0	-0.6368328714743257	0.0	-0.28679546574130654	0.9245324510182186	0.0	0.6208080976924235	0.2393503913622453	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.36086347768239496	0.0	0.0	0.13685538738271608	0.0	0.0	0.0	0.0	0.0	0.4895595043033077	0.0660808677131674	0.9214248707636086	0.0	0.7915268326650302	0.0	-0.7947051362134516	0.0	0.0	0.0	0.0	0.0	-0.6579662067815661	0.43576759470034326	0.0	0.0	0.0	0.0	0.0	-0.1599683789536357	0.0	0.0	-0.47288202145136893	-0.9423693865537643	0.0	0.0	-0.8816793989390135	0.0	0.0	0.0	0.0	0.13537085316741013	0.0	0.5369340280381509	0.0
0.0	-0.2416533031500876	0.0	0.0	0.0	0.0	0.0	0.0	0.6675811929571502	0.5506204609037788	0.0	0.06305274586269857	0.0	0.0	0.5557714734093034	0.0	0.0	0.0	0.8811238621026476	0.0	0.0	0.0	0.0	0.0	0.8976869118212888	0.0	0.0	-0.921083842869848	0.0	0.0	0.0	-0.785324061755091	0.0	-0.7721087166573852	-0.004417606862261891	0.0	0.0	0.0	0.0	0.0	-0.7178267724812031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7952487335392836
